date,entry_count
2021-03-21,0
2021-07-02,0
2021-07-04,0
2021-07-05,0
2021-07-12,0
2021-07-13,0
2021-07-14,0
2021-07-15,0
2021-07-16,0
2021-07-17,0
2021-07-18,0
2021-07-19,0
2021-07-20,0
2021-07-21,0
2021-07-22,0
2021-07-23,0
2021-07-24,0
2021-07-25,0
2021-07-26,0
2021-07-27,0
2021-07-28,0
2021-07-29,0
2021-07-30,0
2021-07-31,0
2021-08-01,0
2021-08-02,0
2021-08-03,0
2021-08-04,0
2021-08-05,0
2021-08-06,0
2021-08-07,0
2021-08-08,0
2021-08-09,0
2021-08-10,0
2021-08-12,20
2021-08-13,1
2021-08-14,6
2021-08-15,27
2021-08-16,12
2021-08-17,1
2021-08-18,6
2021-08-19,9
2021-08-20,8
2021-08-21,1
2021-08-22,4
2021-08-23,6
2021-08-24,4
2021-08-25,11
2021-08-26,7
2021-08-27,6
2021-08-28,3
2021-08-29,4
2021-08-30,5
2021-08-31,3
2021-09-01,10
2021-09-02,3
2021-09-03,0
2021-09-04,11
