mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
social_groups,21100620_21100623,1085.19,18.09,621.37,10.36,459.34,7.66
social_groups,21111208_21111214,2084.21,34.74,1511.7,25.2,567.21,9.45
social_groups,21111220_21111302,2675.64,44.59,1616.62,26.94,960.64,16.01
social_groups,21111408_21111409,182.84,3.05,100.12,1.67,81.61,1.36
social_groups,21111220_21111223,1408.66,23.48,811.56,13.53,592.02,9.87
social_groups,21100608_21100614,2149.81,35.83,1561.57,26.03,582.98,9.72
social_groups,21100808_21100811,1112.52,18.54,687.36,11.46,422.32,7.04
social_groups,21111008_21111020,5001.13,83.35,3765.61,62.76,1226.51,20.44
social_groups,21100608_21100609,400.48,6.67,194.12,3.24,204.95,3.42
social_groups,21100808_21100820,6494.65,108.24,5109.97,85.17,1375.3,22.92
social_groups,21111008_21111011,1002.44,16.71,633.73,10.56,365.58,6.09
social_groups,21111020_21111108,2461.54,41.03,1476.22,24.6,897.84,14.96
social_groups,21111420_21111502,1090.79,18.18,706.85,11.78,345.95,5.77
social_groups,21111408_21111414,1477.25,24.62,969.41,16.16,502.64,8.38
social_groups,21111420_21111423,761.8,12.7,481.58,8.03,275.98,4.6
social_groups,21111208_21111209,388.34,6.47,190.26,3.17,196.67,3.28
social_groups,21111020_21111021,378.83,6.31,178.79,2.98,198.58,3.31
social_groups,21111208_21111211,1052.25,17.54,658.83,10.98,390.55,6.51
social_groups,21111208_21111220,5240.82,87.35,3900.73,65.01,1330.73,22.18
social_groups,21111220_21111308,5363.03,89.38,3856.62,64.28,1365.44,22.76
social_groups,21100620_21100621,453.69,7.56,237.11,3.95,214.08,3.57
social_groups,21100808_21100809,395.88,6.6,193.56,3.23,200.91,3.35
social_groups,21100608_21100611,1044.97,17.42,646.03,10.77,396.3,6.6
social_groups,21111008_21111009,429.5,7.16,192.27,3.2,208.65,3.48
social_groups,21100608_21100620,5203.66,86.73,3930.61,65.51,1263.55,21.06
social_groups,21111220_21111221,527.18,8.79,241.78,4.03,283.15,4.72
social_groups,21111408_21111411,650.58,10.84,373.54,6.23,274.66,4.58
social_groups,21111408_21111420,3673.08,61.22,2613.89,43.56,1050.35,17.51
social_groups,21111008_21111014,1990.44,33.17,1436.19,23.94,548.88,9.15
social_groups,21100808_21100814,2440.83,40.68,1825.05,30.42,610.36,10.17
social_groups,21111420_21111508,3282.15,54.7,2518.07,41.97,699.74,11.66
social_groups,21111020_21111102,1799.02,29.98,1112.55,18.54,615.23,10.25
social_groups,21111020_21111023,1139.03,18.98,682.06,11.37,452.38,7.54
social_groups,21111420_21111421,249.41,4.16,133.31,2.22,114.8,1.91
