mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
multi_agent,21062308_21062309,287.41,4.79,99.51,1.66,161.08,2.68
multi_agent,21062308_21062311,661.8,11.03,323.22,5.39,293.44,4.89
multi_agent,21062308_21062314,1249.6,20.83,702.48,11.71,482.1,8.04
multi_agent,21062308_21062320,3036.47,50.61,1826.04,30.43,1092.25,18.2
multi_agent,21062320_21062321,248.27,4.14,148.87,2.48,86.23,1.44
multi_agent,21062320_21062323,708.87,11.81,430.85,7.18,246.34,4.11
multi_agent,21062320_21062402,1229.55,20.49,771.75,12.86,411.91,6.87
multi_agent,21062320_21062408,2119.62,35.33,1345.55,22.43,710.94,11.85
multi_agent,21062508_21062509,301.2,5.02,100.94,1.68,170.49,2.84
multi_agent,21062508_21062511,660.25,11.0,335.04,5.58,281.53,4.69
multi_agent,21062508_21062514,1261.32,21.02,740.99,12.35,458.34,7.64
multi_agent,21062508_21062520,3141.59,52.36,1995.18,33.25,1057.54,17.63
multi_agent,21062520_21062521,293.5,4.89,160.15,2.67,114.98,1.92
multi_agent,21062520_21062523,854.17,14.24,484.62,8.08,324.71,5.41
multi_agent,21062520_21062602,1804.47,30.07,1059.9,17.67,667.8,11.13
multi_agent,21062520_21062608,2980.53,49.68,1906.21,31.77,985.14,16.42
multi_agent,21062708_21062709,228.64,3.81,106.48,1.77,104.67,1.74
multi_agent,21062708_21062711,676.49,11.27,391.06,6.52,245.07,4.08
multi_agent,21062708_21062714,1457.99,24.3,969.42,16.16,428.12,7.14
multi_agent,21062708_21062720,3456.15,57.6,2340.59,39.01,1008.55,16.81
multi_agent,21062720_21062721,184.49,3.07,122.58,2.04,53.57,0.89
multi_agent,21062720_21062723,519.1,8.65,347.66,5.79,151.1,2.52
multi_agent,21062720_21062802,927.82,15.46,634.57,10.58,265.26,4.42
multi_agent,21062720_21062808,2672.76,44.55,2090.32,34.84,539.6,8.99
multi_agent,21100608_21100609,482.24,8.04,202.53,3.38,238.05,3.97
multi_agent,21100608_21100611,1140.0,19.0,684.79,11.41,391.54,6.53
multi_agent,21100608_21100614,2187.82,36.46,1549.34,25.82,555.82,9.26
multi_agent,21100608_21100620,4865.62,81.09,3613.73,60.23,1122.43,18.71
multi_agent,21100620_21100621,303.44,5.06,191.91,3.2,96.61,1.61
multi_agent,21100620_21100623,819.23,13.65,552.22,9.2,234.13,3.9
multi_agent,21100620_21100702,1531.54,25.53,1068.77,17.81,414.16,6.9
multi_agent,21100620_21100708,3473.99,57.9,2689.12,44.82,719.46,11.99
multi_agent,21100808_21100809,440.03,7.33,198.98,3.32,205.58,3.43
multi_agent,21100808_21100811,1097.48,18.29,706.21,11.77,335.64,5.59
multi_agent,21100808_21100814,2508.85,41.81,1950.77,32.51,506.69,8.44
multi_agent,21100808_21100820,5866.89,97.78,4556.24,75.94,1175.16,19.59
multi_agent,21100820_21100821,412.34,6.87,234.06,3.9,152.95,2.55
multi_agent,21100820_21100823,1185.77,19.76,786.3,13.1,350.43,5.84
multi_agent,21100820_21100902,2364.16,39.4,1576.7,26.28,702.94,11.72
multi_agent,21100820_21100908,4420.83,73.68,3295.78,54.93,1029.62,17.16
multi_agent,21101008_21101009,239.55,3.99,107.19,1.79,114.07,1.9
multi_agent,21101008_21101011,718.33,11.97,400.13,6.67,276.3,4.61
multi_agent,21101008_21101014,1412.44,23.54,926.92,15.45,426.41,7.11
multi_agent,21101008_21101020,3603.56,60.06,2502.13,41.7,993.53,16.56
multi_agent,21101020_21101021,195.52,3.26,136.85,2.28,50.86,0.85
multi_agent,21101020_21101023,557.29,9.29,387.13,6.45,149.8,2.5
multi_agent,21101020_21101102,934.19,15.57,652.43,10.87,254.19,4.24
multi_agent,21101020_21101108,2837.94,47.3,2263.43,37.72,531.24,8.85
multi_agent,21111008_21111009,412.73,6.88,193.99,3.23,217.66,3.63
multi_agent,21111008_21111011,1432.47,23.87,890.08,14.83,539.13,8.99
multi_agent,21111008_21111014,3008.98,50.15,2191.41,36.52,813.85,13.56
multi_agent,21111008_21111020,5799.62,96.66,4306.54,71.78,1352.9,22.55
multi_agent,21111020_21111021,360.09,6.0,245.81,4.1,99.57,1.66
multi_agent,21111020_21111023,1021.07,17.02,715.12,11.92,269.91,4.5
multi_agent,21111020_21111102,2075.95,34.6,1549.37,25.82,474.52,7.91
multi_agent,21111020_21111108,3131.3,52.19,1948.58,32.48,817.15,13.62
multi_agent,21111208_21111209,570.58,9.51,298.69,4.98,233.02,3.88
multi_agent,21111208_21111211,1277.2,21.29,826.75,13.78,390.84,6.51
multi_agent,21111208_21111214,2338.41,38.97,1675.19,27.92,585.35,9.76
multi_agent,21111208_21111220,6130.52,102.18,4573.04,76.22,1413.5,23.56
multi_agent,21111220_21111221,380.52,6.34,223.07,3.72,135.42,2.26
multi_agent,21111220_21111223,1155.12,19.25,734.09,12.23,369.11,6.15
multi_agent,21111220_21111302,2327.23,38.79,1546.59,25.78,697.42,11.62
multi_agent,21111220_21111308,5045.31,84.09,3918.51,65.31,1028.33,17.14
multi_agent,21111408_21111409,217.55,3.63,100.58,1.68,99.84,1.66
multi_agent,21111408_21111411,677.37,11.29,390.37,6.51,257.54,4.29
multi_agent,21111408_21111414,1432.32,23.87,960.97,16.02,426.84,7.11
multi_agent,21111408_21111420,3523.64,58.73,2456.85,40.95,961.49,16.02
multi_agent,21111420_21111421,202.61,3.38,137.65,2.29,55.98,0.93
multi_agent,21111420_21111423,561.33,9.36,398.78,6.65,147.59,2.46
multi_agent,21111420_21111502,982.97,16.38,700.12,11.67,255.12,4.25
multi_agent,21111420_21111508,2949.49,49.16,2378.16,39.64,529.17,8.82
social_groups,21062308_21062309,314.83,5.25,96.94,1.62,191.83,3.2
social_groups,21062308_21062311,710.72,11.85,306.22,5.1,355.75,5.93
