mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,difference_pickup,difference_dropoff
multi_agent,21111008_21111009,55824,9660,9662,48865,9659,9660,12.47,0.01,0.02,0,0.01,0.02,1,2
multi_agent,21111008_21111011,173277,25666,25701,156579,25627,25639,9.64,0.15,0.24,0,0.15,0.24,39,62
multi_agent_1,21062308_21062309,12143,9660,9662,10266,9635,9636,15.46,0.26,0.27,0,0.26,0.27,25,26
multi_agent_1,21062308_21062311,41544,25666,25701,37161,25610,25614,10.55,0.22,0.34,0,0.22,0.34,56,87
multi_agent_1,21062308_21062314,80013,45475,45522,74280,45330,45347,7.17,0.32,0.38,0,0.32,0.38,145,175
multi_agent_1,21062308_21062320,164796,109363,109427,150448,109098,109122,8.71,0.24,0.28,0,0.24,0.28,265,305
multi_agent_1,21062320_21062321,20567,12084,12094,15478,12072,12074,24.74,0.1,0.17,0,0.1,0.17,12,20
multi_agent_1,21062320_21062323,48298,33562,33594,35245,33498,33504,27.03,0.19,0.27,0,0.19,0.27,64,90
multi_agent_1,21062320_21062402,83891,49972,50046,50706,49954,49968,39.56,0.04,0.16,0,0.04,0.16,18,78
multi_agent_1,21062320_21062408,166911,67114,67218,122082,67062,67069,26.86,0.08,0.22,0,0.08,0.22,52,149
multi_agent_1,21062508_21062509,12340,9714,9695,10778,9664,9667,12.66,0.51,0.29,0,0.51,0.29,50,28
multi_agent_1,21062508_21062511,45495,27096,27078,40726,26958,26971,10.48,0.51,0.4,0,0.51,0.4,138,107
multi_agent_1,21062508_21062514,90456,48296,48277,84768,48112,48126,6.29,0.38,0.31,0,0.38,0.31,184,151
multi_agent_1,21062508_21062520,186808,119378,119359,177938,118963,118989,4.75,0.35,0.31,0,0.35,0.31,415,370
multi_agent_1,21062520_21062521,14716,15829,15835,12279,15789,15789,16.56,0.25,0.29,0,0.25,0.29,40,46
multi_agent_1,21062520_21062523,35240,45341,45322,29319,45188,45193,16.8,0.34,0.28,0,0.34,0.28,153,129
multi_agent_1,21062520_21062602,61157,84455,84454,43490,84079,84095,28.89,0.45,0.43,0,0.45,0.43,376,359
multi_agent_1,21062520_21062608,155191,99868,99848,125683,99599,99612,19.01,0.27,0.24,0,0.27,0.24,269,236
multi_agent_1,21062708_21062709,37607,3423,3429,32535,3422,3422,13.49,0.03,0.2,1,0.0,0.17,0,6
multi_agent_1,21062708_21062711,121361,14758,14786,106431,14745,14750,12.3,0.09,0.24,1,0.08,0.24,12,35
multi_agent_1,21062708_21062714,256515,37323,37366,225412,37265,37275,12.13,0.16,0.24,2,0.15,0.24,56,89
multi_agent_1,21062708_21062720,487505,90065,90123,429182,89873,89898,11.96,0.21,0.25,3,0.21,0.25,189,222
multi_agent_1,21062720_21062721,31320,7631,7624,23934,7603,7604,23.58,0.37,0.26,0,0.37,0.26,28,20
multi_agent_1,21062720_21062723,82554,20676,20671,60573,20618,20621,26.63,0.28,0.24,0,0.28,0.24,58,50
multi_agent_1,21062720_21062802,122837,27909,27912,79246,27860,27863,35.49,0.18,0.18,0,0.18,0.18,49,49
multi_agent_1,21062720_21062808,274218,41386,41344,209016,41240,41252,23.78,0.35,0.22,0,0.35,0.22,146,92
multi_agent_1,21100608_21100609,60583,9660,9662,53135,9637,9640,12.29,0.24,0.23,0,0.24,0.23,23,22
multi_agent_1,21100608_21100611,184538,25666,25701,166400,25481,25487,9.83,0.72,0.83,0,0.72,0.83,185,214
multi_agent_1,21100608_21100614,366281,45475,45522,334868,45225,45235,8.58,0.55,0.63,0,0.55,0.63,250,287
multi_agent_1,21100608_21100620,701441,109363,109427,655882,109045,109080,6.5,0.29,0.32,0,0.29,0.32,318,347
multi_agent_1,21100620_21100621,43360,12084,12094,36341,12067,12070,16.19,0.14,0.2,0,0.14,0.2,17,24
multi_agent_1,21100620_21100623,111345,33562,33594,95429,33512,33518,14.29,0.15,0.23,0,0.15,0.23,50,76
multi_agent_1,21100620_21100702,175555,49972,50046,142019,49933,49944,19.1,0.08,0.2,0,0.08,0.2,39,102
multi_agent_1,21100620_21100708,357374,67114,67218,293045,67021,67034,18.0,0.14,0.27,0,0.14,0.27,93,184
multi_agent_1,21100808_21100809,59222,9714,9695,51661,9676,9677,12.77,0.39,0.19,0,0.39,0.19,38,18
multi_agent_1,21100808_21100811,185427,27096,27078,163911,26873,26885,11.6,0.82,0.71,0,0.82,0.71,223,193
multi_agent_1,21100808_21100814,367193,48296,48277,324400,47880,47888,11.65,0.86,0.81,0,0.86,0.81,416,389
multi_agent_1,21100808_21100820,721009,119378,119359,664407,118615,118647,7.85,0.64,0.6,0,0.64,0.6,763,712
multi_agent_1,21100820_21100821,45979,15829,15835,38619,15775,15779,16.01,0.34,0.35,0,0.34,0.35,54,56
multi_agent_1,21100820_21100823,129778,45341,45322,110867,44904,44911,14.57,0.96,0.91,0,0.96,0.91,437,411
multi_agent_1,21100820_21100902,192505,84455,84454,157210,84130,84150,18.33,0.38,0.36,0,0.38,0.36,325,304
multi_agent_1,21100820_21100908,321579,99868,99848,258363,99570,99591,19.66,0.3,0.26,0,0.3,0.26,298,257
multi_agent_1,21101008_21101009,40097,3423,3429,33496,3412,3412,16.46,0.32,0.5,3,0.23,0.41,8,14
multi_agent_1,21101008_21101011,128141,14758,14786,112262,14749,14750,12.39,0.06,0.24,3,0.04,0.22,6,33
multi_agent_1,21101008_21101014,261957,37323,37366,234171,37273,37284,10.61,0.13,0.22,1,0.13,0.22,49,81
multi_agent_1,21101008_21101020,525699,90065,90123,475827,89796,89814,9.49,0.3,0.34,26,0.27,0.31,243,283
multi_agent_1,21101020_21101021,36216,7631,7624,29854,7597,7598,17.57,0.45,0.34,0,0.45,0.34,34,26
multi_agent_1,21101020_21101023,97323,20676,20671,79422,20621,20627,18.39,0.27,0.21,0,0.27,0.21,55,44
multi_agent_1,21101020_21101102,145559,27909,27912,109981,27847,27850,24.44,0.22,0.22,0,0.22,0.22,62,62
multi_agent_1,21101020_21101108,314998,41386,41344,256544,41237,41241,18.56,0.36,0.25,0,0.36,0.25,149,103
multi_agent_1,21111008_21111009,55824,9660,9662,48151,9639,9642,13.74,0.22,0.21,0,0.22,0.21,21,20
multi_agent_1,21111008_21111011,173277,25666,25701,155513,25607,25616,10.25,0.23,0.33,0,0.23,0.33,59,85
multi_agent_1,21111008_21111014,348953,45475,45522,318006,45379,45392,8.87,0.21,0.29,0,0.21,0.29,96,130
multi_agent_1,21111008_21111020,697008,109363,109427,643314,108959,108993,7.7,0.37,0.4,0,0.37,0.4,404,434
multi_agent_1,21111020_21111021,44113,12084,12094,36452,12068,12071,17.37,0.13,0.19,0,0.13,0.19,16,23
multi_agent_1,21111020_21111023,125439,33562,33594,107912,33501,33506,13.97,0.18,0.26,0,0.18,0.26,61,88
multi_agent_1,21111020_21111102,195418,49972,50046,158319,49912,49917,18.98,0.12,0.26,0,0.12,0.26,60,129
multi_agent_1,21111020_21111108,195418,67114,67218,161541,67039,67056,17.34,0.11,0.24,0,0.11,0.24,75,162
multi_agent_1,21111208_21111209,58636,9714,9695,51332,9658,9664,12.46,0.58,0.32,0,0.58,0.32,56,31
multi_agent_1,21111208_21111211,177567,27096,27078,158216,26973,26981,10.9,0.45,0.36,0,0.45,0.36,123,97
multi_agent_1,21111208_21111214,348247,48296,48277,312728,47907,47916,10.2,0.81,0.75,0,0.81,0.75,389,361
multi_agent_1,21111208_21111220,694910,119378,119359,636164,118713,118738,8.45,0.56,0.52,0,0.56,0.52,665,621
multi_agent_1,21111220_21111221,43356,15829,15835,35117,15790,15795,19.0,0.25,0.25,0,0.25,0.25,39,40
multi_agent_1,21111220_21111223,125335,45341,45322,104321,45186,45195,16.77,0.34,0.28,0,0.34,0.28,155,127
multi_agent_1,21111220_21111302,194548,84455,84454,150095,84239,84246,22.85,0.26,0.25,0,0.26,0.25,216,208
multi_agent_1,21111220_21111308,336102,99868,99848,255671,99552,99563,23.93,0.32,0.29,0,0.32,0.29,316,285
multi_agent_1,21111408_21111409,40950,3423,3429,33321,3423,3423,18.63,0.0,0.17,0,0.0,0.17,0,6
multi_agent_1,21111408_21111411,133077,14758,14786,115694,14744,14747,13.06,0.09,0.26,1,0.09,0.26,13,38
multi_agent_1,21111408_21111414,270378,37323,37366,238828,37271,37279,11.67,0.14,0.23,8,0.12,0.21,44,79
multi_agent_1,21111408_21111420,540728,90065,90123,485426,89890,89899,10.23,0.19,0.25,2,0.19,0.25,173,222
multi_agent_1,21111420_21111421,37178,7631,7624,30430,7601,7604,18.15,0.39,0.26,0,0.39,0.26,30,20
multi_agent_1,21111420_21111423,99040,20676,20671,80951,20617,20617,18.26,0.29,0.26,0,0.29,0.26,59,54
multi_agent_1,21111420_21111502,152936,27909,27912,116175,27846,27851,24.04,0.23,0.22,0,0.23,0.22,63,61
