mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error
social_groups,21062308_21062309,12143,9660,9662,10511,6545,6545,13.44,32.25,32.26,3114,0.01,0.03
social_groups,21062308_21062311,41544,25666,25701,37722,20941,20945,9.2,18.41,18.51,4721,0.02,0.14
social_groups,21062308_21062314,80013,45475,45522,75631,39775,39784,5.48,12.53,12.6,5690,0.02,0.11
social_groups,21062308_21062320,164796,109363,109427,158688,98382,98395,3.71,10.04,10.08,10908,0.07,0.11
social_groups,21062320_21062321,20567,12084,12094,15696,9018,9020,23.68,25.37,25.42,3064,0.02,0.08
social_groups,21062320_21062323,48298,33562,33594,36293,28631,28634,24.86,14.69,14.76,4928,0.01,0.1
social_groups,21062320_21062402,83891,49972,50046,52979,43038,43045,36.85,13.88,13.99,6925,0.02,0.15
social_groups,21062320_21062408,166911,67114,67218,130748,55905,55916,21.67,16.7,16.81,11197,0.02,0.16
social_groups,21062508_21062509,12340,9714,9695,10895,6532,6535,11.71,32.76,32.59,3178,0.04,0.19
social_groups,21062508_21062511,45495,27096,27078,41324,22232,22240,9.17,17.95,17.87,4855,0.03,0.06
social_groups,21062508_21062514,90456,48296,48277,86452,42374,42391,4.43,12.26,12.19,5904,0.04,0.04
social_groups,21062508_21062520,186808,119378,119359,181634,104846,104866,2.77,12.17,12.14,14509,0.02,0.01
social_groups,21062520_21062521,14716,15829,15835,12596,11509,11509,14.41,27.29,27.32,4320,0.0,0.04
social_groups,21062520_21062523,35240,45341,45322,29994,38839,38844,14.89,14.34,14.29,6488,0.03,0.02
social_groups,21062520_21062602,61157,84455,84454,45642,75059,75074,25.37,11.13,11.11,9379,0.02,0.0
social_groups,21062520_21062608,155191,99868,99848,130263,87282,87292,16.06,12.6,12.58,12569,0.02,0.01
social_groups,21062708_21062709,37607,3423,3429,32831,2190,2191,12.7,36.02,36.1,1231,0.06,0.2
social_groups,21062708_21062711,121361,14758,14786,108044,11274,11276,10.97,23.61,23.74,3480,0.03,0.2
social_groups,21062708_21062714,256515,37323,37366,229481,32375,32383,10.54,13.26,13.34,4921,0.07,0.17
social_groups,21062708_21062720,487505,90065,90123,437940,82472,82481,10.17,8.43,8.48,7569,0.03,0.08
social_groups,21062720_21062721,31320,7631,7624,24391,5664,5664,22.12,25.78,25.71,1967,0.0,0.09
social_groups,21062720_21062723,82554,20676,20671,62068,17792,17797,24.82,13.95,13.9,2879,0.02,0.02
social_groups,21062720_21062802,122837,27909,27912,80755,24181,24184,34.26,13.36,13.36,3722,0.02,0.02
social_groups,21062720_21062808,274218,41386,41344,211593,33859,33866,22.84,18.19,18.09,7515,0.03,0.09
social_groups,21100608_21100609,60583,9660,9662,53934,6516,6519,10.98,32.55,32.53,3140,0.04,0.03
social_groups,21100608_21100611,184538,25666,25701,169425,20115,20123,8.19,21.63,21.7,5521,0.12,0.22
social_groups,21100608_21100614,366281,45475,45522,341806,38668,38679,6.68,14.97,15.03,6693,0.25,0.33
social_groups,21100608_21100620,701441,109363,109427,665545,94000,94017,5.12,14.05,14.08,14944,0.38,0.43
social_groups,21100620_21100621,43360,12084,12094,36707,8997,8997,15.34,25.55,25.61,3087,0.0,0.08
social_groups,21100620_21100623,111345,33562,33594,97572,28339,28344,12.37,15.56,15.63,5216,0.02,0.1
social_groups,21100620_21100702,175555,49972,50046,144326,43395,43402,17.79,13.16,13.28,6568,0.02,0.15
social_groups,21100620_21100708,357374,67114,67218,298301,55552,55562,16.53,17.23,17.34,11549,0.02,0.16
social_groups,21100808_21100809,59222,9714,9695,52221,6287,6291,11.82,35.28,35.11,3420,0.07,0.17
social_groups,21100808_21100811,185427,27096,27078,168562,21246,21253,9.1,21.59,21.51,5733,0.43,0.34
social_groups,21100808_21100814,367193,48296,48277,333667,41057,41066,9.13,14.99,14.94,7173,0.14,0.08
social_groups,21100808_21100820,721009,119378,119359,675264,101623,101645,6.34,14.87,14.84,17507,0.21,0.17
social_groups,21100820_21100821,45979,15829,15835,39293,11219,11220,14.54,29.12,29.14,4608,0.01,0.04
social_groups,21100820_21100823,129778,45341,45322,111942,38475,38483,13.74,15.14,15.09,6832,0.07,0.02
social_groups,21100820_21100902,192505,84455,84454,159153,73927,73945,17.33,12.47,12.44,10498,0.04,0.01
social_groups,21100820_21100908,321579,99868,99848,263784,85196,85205,17.97,14.69,14.67,14633,0.04,0.01
social_groups,21101008_21101009,40097,3423,3429,34573,2150,2152,13.78,37.19,37.24,1271,0.06,0.17
social_groups,21101008_21101011,128141,14758,14786,114834,11427,11428,10.38,22.57,22.71,3330,0.01,0.19
social_groups,21101008_21101014,261957,37323,37366,238976,32222,32227,8.77,13.67,13.75,5089,0.03,0.13
social_groups,21101008_21101020,525699,90065,90123,486741,82232,82240,7.41,8.7,8.75,7808,0.03,0.08
social_groups,21101020_21101021,36216,7631,7624,30366,5614,5615,16.15,26.43,26.35,2016,0.01,0.09
social_groups,21101020_21101023,97323,20676,20671,81175,17796,17801,16.59,13.93,13.88,2874,0.03,0.02
social_groups,21101020_21101102,145559,27909,27912,113093,24170,24172,22.3,13.4,13.4,3733,0.02,0.03
social_groups,21101020_21101108,314998,41386,41344,259863,33760,33764,17.5,18.43,18.33,7618,0.02,0.09
social_groups,21111008_21111009,55824,9660,9662,47797,6289,6290,14.38,34.9,34.9,3340,0.32,0.33
social_groups,21111008_21111011,173277,25666,25701,155704,20695,20701,10.14,19.37,19.45,4929,0.16,0.28
social_groups,21111008_21111014,348953,45475,45522,318121,38644,38653,8.84,15.02,15.09,6688,0.31,0.4
social_groups,21111008_21111020,697008,109363,109427,645883,95839,95869,7.33,12.37,12.39,13262,0.24,0.27
social_groups,21111020_21111021,44113,12084,12094,36520,8881,8882,17.21,26.51,26.56,3186,0.14,0.21
social_groups,21111020_21111023,125439,33562,33594,107747,28287,28291,14.1,15.72,15.79,5253,0.07,0.15
social_groups,21111020_21111102,195418,49972,50046,159197,42810,42819,18.54,14.33,14.44,7125,0.07,0.2
social_groups,21111020_21111108,195418,67114,67218,161703,55912,55924,17.25,16.69,16.8,11165,0.06,0.19
social_groups,21111208_21111209,58636,9714,9695,51253,6352,6355,12.59,34.61,34.45,3311,0.53,0.3
social_groups,21111208_21111211,177567,27096,27078,158145,21155,21162,10.94,21.93,21.85,5791,0.55,0.46
social_groups,21111208_21111214,348247,48296,48277,314736,41460,41469,9.62,14.15,14.1,6683,0.32,0.26
social_groups,21111208_21111220,694910,119378,119359,639440,101249,101272,7.98,15.19,15.15,17595,0.45,0.41
social_groups,21111220_21111221,43356,15829,15835,35018,11403,11404,19.23,27.96,27.98,4375,0.32,0.35
social_groups,21111220_21111223,125335,45341,45322,106132,38972,38978,15.32,14.05,14.0,6350,0.04,0.01
social_groups,21111220_21111302,194548,84455,84454,153153,73296,73307,21.28,13.21,13.2,11134,0.03,0.02
social_groups,21111220_21111308,336102,99868,99848,260992,85208,85225,22.35,14.68,14.65,14623,0.04,0.0
social_groups,21111408_21111409,40950,3423,3429,33863,2198,2198,17.31,35.79,35.9,1225,0.0,0.17
social_groups,21111408_21111411,133077,14758,14786,117871,11065,11066,11.43,25.02,25.16,3686,0.05,0.23
social_groups,21111408_21111414,270378,37323,37366,243673,32676,32683,9.88,12.45,12.53,4635,0.03,0.13
social_groups,21111408_21111420,540728,90065,90123,493492,81940,81964,8.74,9.02,9.05,8086,0.04,0.08
social_groups,21111420_21111421,37178,7631,7624,31049,5715,5715,16.49,25.11,25.04,1916,0.0,0.09
social_groups,21111420_21111423,99040,20676,20671,82914,17740,17743,16.28,14.2,14.16,2931,0.02,0.01
social_groups,21111420_21111502,152936,27909,27912,117631,24140,24143,23.08,13.5,13.5,3763,0.02,0.02
social_groups,21111420_21111508,324522,41386,41344,262335,33773,33777,19.16,18.4,18.3,7577,0.09,0.02
