mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error
social_groups,21062308_21062314,82149,48842,48997,76040,41177,41185,7.44,15.69,15.94,7541,0.25,0.55
social_groups,21062320_21062402,85205,53627,53493,53617,44980,44994,37.07,16.12,15.89,8434,0.4,0.12
social_groups,21062508_21062514,94018,52240,52377,87551,44196,44206,6.88,15.4,15.6,7794,0.48,0.72
social_groups,21062520_21062602,62010,92608,92413,46001,75933,75943,25.82,18.01,17.82,16319,0.38,0.16
social_groups,21062708_21062714,262773,40838,40826,231761,34196,34204,11.8,16.26,16.22,6450,0.47,0.42
social_groups,21062720_21062802,123591,29934,29853,81100,25702,25708,34.38,14.14,13.88,4148,0.28,0.01
social_groups,21100608_21100614,378862,48842,48997,346489,40720,40734,8.54,16.63,16.86,7897,0.46,0.75
social_groups,21100620_21100702,180139,53627,53493,146126,45059,45068,18.88,15.98,15.75,8455,0.21,0.06
social_groups,21100808_21100814,379029,52240,52377,338298,43121,43132,10.75,17.46,17.65,8759,0.69,0.93
social_groups,21100820_21100902,196595,92608,92413,160441,75775,75788,18.39,18.18,17.99,16359,0.51,0.29
social_groups,21101008_21101014,271191,40838,40826,241811,33746,33754,10.83,17.37,17.32,6881,0.52,0.47
social_groups,21101020_21101102,147197,29934,29853,113254,25771,25773,23.06,13.91,13.67,4098,0.22,0.06
social_groups,21111008_21111014,360245,48842,48997,325668,40416,40427,9.6,17.25,17.49,8106,0.66,0.95
social_groups,21111020_21111102,199856,53627,53493,162836,45109,45113,18.52,15.88,15.67,8312,0.38,0.13
social_groups,21111208_21111214,359458,52240,52377,322026,43725,43740,10.41,16.3,16.49,8249,0.51,0.74
social_groups,21111220_21111302,198525,92608,92413,154820,76420,76436,22.01,17.48,17.29,15779,0.44,0.21
social_groups,21111408_21111414,278839,40838,40826,246259,34099,34108,11.68,16.5,16.46,6592,0.36,0.31
social_groups,21111420_21111502,155227,29934,29853,118795,25896,25899,23.47,13.49,13.24,3933,0.35,0.07
