mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time
multi_agent,21111008_21111009,433.78,7.23,188.05,3.13,220.68,3.68,0.43,0.51
multi_agent,21111008_21111011,3363.02,56.05,1457.93,24.3,1866.62,31.11,0.43,0.56
multi_agent,21111008_21111014,2223.26,37.05,1617.17,26.95,551.27,9.19,0.73,0.25
multi_agent_1,21062308_21062309,287.41,4.79,99.51,1.66,161.08,2.68,0.35,0.56
multi_agent_1,21062308_21062311,661.8,11.03,323.22,5.39,293.44,4.89,0.49,0.44
multi_agent_1,21062308_21062314,1249.6,20.83,702.48,11.71,482.1,8.04,0.56,0.39
multi_agent_1,21062308_21062320,3036.47,50.61,1826.04,30.43,1092.25,18.2,0.6,0.36
multi_agent_1,21062320_21062321,248.27,4.14,148.87,2.48,86.23,1.44,0.6,0.35
multi_agent_1,21062320_21062323,708.87,11.81,430.85,7.18,246.34,4.11,0.61,0.35
multi_agent_1,21062320_21062402,1229.55,20.49,771.75,12.86,411.91,6.87,0.63,0.34
multi_agent_1,21062320_21062408,2119.62,35.33,1345.55,22.43,710.94,11.85,0.63,0.34
multi_agent_1,21062508_21062509,301.2,5.02,100.94,1.68,170.49,2.84,0.34,0.57
multi_agent_1,21062508_21062511,660.25,11.0,335.04,5.58,281.53,4.69,0.51,0.43
multi_agent_1,21062508_21062514,1261.32,21.02,740.99,12.35,458.34,7.64,0.59,0.36
multi_agent_1,21062508_21062520,3141.59,52.36,1995.18,33.25,1057.54,17.63,0.64,0.34
multi_agent_1,21062520_21062521,293.5,4.89,160.15,2.67,114.98,1.92,0.55,0.39
multi_agent_1,21062520_21062523,854.17,14.24,484.62,8.08,324.71,5.41,0.57,0.38
multi_agent_1,21062520_21062602,1804.47,30.07,1059.9,17.67,667.8,11.13,0.59,0.37
multi_agent_1,21062520_21062608,2980.53,49.68,1906.21,31.77,985.14,16.42,0.64,0.33
multi_agent_1,21062708_21062709,228.64,3.81,106.48,1.77,104.67,1.74,0.47,0.46
multi_agent_1,21062708_21062711,676.49,11.27,391.06,6.52,245.07,4.08,0.58,0.36
multi_agent_1,21062708_21062714,1457.99,24.3,969.42,16.16,428.12,7.14,0.66,0.29
multi_agent_1,21062708_21062720,3456.15,57.6,2340.59,39.01,1008.55,16.81,0.68,0.29
multi_agent_1,21062720_21062721,184.49,3.07,122.58,2.04,53.57,0.89,0.66,0.29
multi_agent_1,21062720_21062723,519.1,8.65,347.66,5.79,151.1,2.52,0.67,0.29
multi_agent_1,21062720_21062802,927.82,15.46,634.57,10.58,265.26,4.42,0.68,0.29
multi_agent_1,21062720_21062808,2672.76,44.55,2090.32,34.84,539.6,8.99,0.78,0.2
multi_agent_1,21100608_21100609,482.24,8.04,202.53,3.38,238.05,3.97,0.42,0.49
multi_agent_1,21100608_21100611,1140.0,19.0,684.79,11.41,391.54,6.53,0.6,0.34
multi_agent_1,21100608_21100614,2187.82,36.46,1549.34,25.82,555.82,9.26,0.71,0.25
multi_agent_1,21100608_21100620,4865.62,81.09,3613.73,60.23,1122.43,18.71,0.74,0.23
multi_agent_1,21100620_21100621,303.44,5.06,191.91,3.2,96.61,1.61,0.63,0.32
multi_agent_1,21100620_21100623,819.23,13.65,552.22,9.2,234.13,3.9,0.67,0.29
multi_agent_1,21100620_21100702,1531.54,25.53,1068.77,17.81,414.16,6.9,0.7,0.27
multi_agent_1,21100620_21100708,3473.99,57.9,2689.12,44.82,719.46,11.99,0.77,0.21
multi_agent_1,21100808_21100809,440.03,7.33,198.98,3.32,205.58,3.43,0.45,0.47
multi_agent_1,21100808_21100811,1097.48,18.29,706.21,11.77,335.64,5.59,0.64,0.31
multi_agent_1,21100808_21100814,2508.85,41.81,1950.77,32.51,506.69,8.44,0.78,0.2
multi_agent_1,21100808_21100820,5866.89,97.78,4556.24,75.94,1175.16,19.59,0.78,0.2
multi_agent_1,21100820_21100821,412.34,6.87,234.06,3.9,152.95,2.55,0.57,0.37
multi_agent_1,21100820_21100823,1185.77,19.76,786.3,13.1,350.43,5.84,0.66,0.3
multi_agent_1,21100820_21100902,2364.16,39.4,1576.7,26.28,702.94,11.72,0.67,0.3
multi_agent_1,21100820_21100908,4420.83,73.68,3295.78,54.93,1029.62,17.16,0.75,0.23
