mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
multi_agent_2,21062308_21062309,10551.0,9660.0,9662.0,10542.0,9656.0,9660.0,0.09,0.04,0.02,0.0,0.04,0.02,0.09,0.04,0.02
multi_agent_2,21062308_21062311,37630.0,25666.0,25701.0,37696.0,25604.0,25612.0,0.18,0.24,0.35,0.0,0.24,0.35,0.2,0.22,0.32
multi_agent_2,21062308_21062314,75632.0,45475.0,45522.0,75662.0,45427.0,45439.0,0.04,0.11,0.18,0.0,0.11,0.18,0.04,0.09,0.16
multi_agent_2,21062308_21062320,159733.0,109363.0,109427.0,158730.0,109299.0,109327.0,0.63,0.06,0.09,0.0,0.06,0.09,0.73,0.06,0.09
multi_agent_2,21062320_21062321,15804.0,12084.0,12094.0,15719.0,12082.0,12084.0,0.54,0.02,0.08,0.0,0.02,0.08,0.68,0.02,0.09
multi_agent_2,21062320_21062323,36258.0,33562.0,33594.0,36267.0,33549.0,33558.0,0.02,0.04,0.11,0.0,0.04,0.11,0.03,0.04,0.11
multi_agent_2,21062320_21062402,53092.0,49972.0,50046.0,53112.0,49961.0,49972.0,0.04,0.02,0.15,0.0,0.02,0.15,0.04,0.02,0.14
multi_agent_2,21062320_21062408,151083.0,67114.0,67218.0,129643.0,67086.0,67097.0,14.19,0.04,0.18,0.0,0.04,0.18,16.52,0.03,0.13
multi_agent_2,21062508_21062509,10953.0,9714.0,9695.0,10896.0,9714.0,9714.0,0.52,0.0,0.2,0.0,0.0,0.2,0.55,0.0,0.19
multi_agent_2,21062508_21062511,41406.0,27096.0,27078.0,41446.0,27056.0,27064.0,0.1,0.15,0.05,0.0,0.15,0.05,0.11,0.14,0.05
multi_agent_2,21062508_21062514,86371.0,48296.0,48277.0,86146.0,48217.0,48233.0,0.26,0.16,0.09,0.0,0.16,0.09,0.31,0.15,0.08
multi_agent_2,21062508_21062520,181921.0,119378.0,119359.0,181603.0,118980.0,118998.0,0.17,0.33,0.3,0.0,0.33,0.3,0.22,0.33,0.3
multi_agent_2,21062520_21062521,12622.0,15829.0,15835.0,12489.0,15825.0,15828.0,1.05,0.03,0.04,0.0,0.03,0.04,1.19,0.03,0.06
multi_agent_2,21062520_21062523,30039.0,45341.0,45322.0,30101.0,45321.0,45336.0,0.21,0.04,0.03,0.0,0.04,0.03,0.21,0.05,0.04
multi_agent_2,21062520_21062602,45968.0,84455.0,84454.0,45680.0,84416.0,84432.0,0.63,0.05,0.03,0.0,0.05,0.03,0.55,0.05,0.03
multi_agent_2,21062520_21062608,134741.0,99868.0,99848.0,128545.0,99840.0,99862.0,4.6,0.03,0.01,0.0,0.03,0.01,4.93,0.03,0.01
multi_agent_2,21062708_21062709,33057.0,3423.0,3429.0,32938.0,3421.0,3421.0,0.36,0.06,0.23,0.0,0.06,0.23,0.66,0.03,0.14
multi_agent_2,21062708_21062711,108240.0,14758.0,14786.0,107714.0,14755.0,14756.0,0.49,0.02,0.2,0.0,0.02,0.2,0.92,0.01,0.14
multi_agent_2,21062708_21062714,229888.0,37323.0,37366.0,229905.0,37296.0,37302.0,0.01,0.07,0.17,1.0,0.07,0.17,0.01,0.05,0.13
multi_agent_2,21062708_21062720,438151.0,90065.0,90123.0,438257.0,90024.0,90036.0,0.02,0.05,0.1,1.0,0.04,0.1,0.05,0.04,0.08
multi_agent_2,21062720_21062721,24371.0,7631.0,7624.0,24402.0,7630.0,7631.0,0.13,0.01,0.09,0.0,0.01,0.09,0.2,0.01,0.08
multi_agent_2,21062720_21062723,62088.0,20676.0,20671.0,62192.0,20670.0,20675.0,0.17,0.03,0.02,0.0,0.03,0.02,0.24,0.02,0.02
multi_agent_2,21062720_21062802,82424.0,27909.0,27912.0,80237.0,27898.0,27904.0,2.65,0.04,0.03,0.0,0.04,0.03,3.13,0.03,0.02
multi_agent_2,21062720_21062808,230410.0,41386.0,41344.0,210673.0,41376.0,41385.0,8.57,0.02,0.1,0.0,0.02,0.1,12.13,0.01,0.06
multi_agent_2,21100608_21100609,53856.0,9660.0,9662.0,53691.0,9659.0,9660.0,0.31,0.01,0.02,0.0,0.01,0.02,0.71,0.01,0.02
multi_agent_2,21100608_21100611,169759.0,25666.0,25701.0,169103.0,25618.0,25634.0,0.39,0.19,0.26,0.0,0.19,0.26,0.92,0.17,0.24
multi_agent_2,21100608_21100614,342625.0,45475.0,45522.0,341320.0,45272.0,45292.0,0.38,0.45,0.51,0.0,0.45,0.51,0.91,0.39,0.44
multi_agent_2,21100608_21100620,671556.0,109363.0,109427.0,663893.0,109126.0,109151.0,1.14,0.22,0.25,0.0,0.22,0.25,2.71,0.21,0.24
multi_agent_2,21100620_21100621,37011.0,12084.0,12094.0,36821.0,12082.0,12083.0,0.51,0.02,0.09,0.0,0.02,0.09,0.99,0.02,0.1
multi_agent_2,21100620_21100623,97628.0,33562.0,33594.0,97530.0,33554.0,33559.0,0.1,0.02,0.1,0.0,0.02,0.1,0.18,0.03,0.11
multi_agent_2,21100620_21100702,150054.0,49972.0,50046.0,143848.0,49934.0,49948.0,4.14,0.08,0.2,0.0,0.08,0.2,6.61,0.07,0.18
multi_agent_2,21100620_21100708,322938.0,67114.0,67218.0,296079.0,67039.0,67052.0,8.32,0.11,0.25,0.0,0.11,0.25,13.94,0.08,0.18
multi_agent_2,21100808_21100809,52266.0,9714.0,9695.0,52157.0,9693.0,9695.0,0.21,0.22,0.0,0.0,0.22,0.0,0.48,0.21,0.0
multi_agent_2,21100808_21100811,169061.0,27096.0,27078.0,167465.0,26947.0,26952.0,0.94,0.55,0.47,0.0,0.55,0.47,2.25,0.52,0.44
multi_agent_2,21100808_21100814,340681.0,48296.0,48277.0,333075.0,48028.0,48048.0,2.23,0.55,0.47,0.0,0.55,0.47,5.35,0.5,0.43
multi_agent_2,21100808_21100820,691480.0,119378.0,119359.0,673450.0,118856.0,118888.0,2.61,0.44,0.39,0.0,0.44,0.39,6.3,0.44,0.39
multi_agent_2,21100820_21100821,39252.0,15829.0,15835.0,38982.0,15821.0,15827.0,0.69,0.05,0.05,0.0,0.05,0.05,1.37,0.06,0.06
multi_agent_2,21100820_21100823,113608.0,45341.0,45322.0,111205.0,44970.0,44977.0,2.12,0.82,0.76,0.0,0.82,0.76,4.14,1.01,0.94
multi_agent_2,21100820_21100902,164152.0,84455.0,84454.0,158902.0,84321.0,84335.0,3.2,0.16,0.14,0.0,0.16,0.14,5.33,0.19,0.17
multi_agent_2,21100820_21100908,283901.0,99868.0,99848.0,260670.0,99821.0,99844.0,8.18,0.05,0.0,0.0,0.05,0.0,12.85,0.04,0.0
multi_agent_2,21101008_21101009,34306.0,3423.0,3429.0,34207.0,3419.0,3420.0,0.29,0.12,0.26,3.0,0.03,0.17,0.53,0.02,0.1
multi_agent_2,21101008_21101011,114843.0,14758.0,14786.0,114907.0,14749.0,14756.0,0.06,0.06,0.2,0.0,0.06,0.2,0.11,0.04,0.14
multi_agent_2,21101008_21101014,238728.0,37323.0,37366.0,238457.0,37308.0,37316.0,0.11,0.04,0.13,4.0,0.03,0.12,0.23,0.02,0.1
multi_agent_2,21101008_21101020,487096.0,90065.0,90123.0,486608.0,90031.0,90055.0,0.1,0.04,0.08,0.0,0.04,0.08,0.2,0.03,0.07
multi_agent_2,21101020_21101021,30505.0,7631.0,7624.0,30608.0,7629.0,7629.0,0.34,0.03,0.07,0.0,0.03,0.07,0.59,0.02,0.06
multi_agent_2,21101020_21101023,81372.0,20676.0,20671.0,81406.0,20670.0,20675.0,0.04,0.03,0.02,0.0,0.03,0.02,0.07,0.02,0.02
multi_agent_2,21101020_21101102,114096.0,27909.0,27912.0,112504.0,27897.0,27904.0,1.4,0.04,0.03,0.0,0.04,0.03,1.93,0.03,0.02
multi_agent_2,21101020_21101108,282048.0,41386.0,41344.0,259411.0,41382.0,41386.0,8.03,0.01,0.1,0.0,0.01,0.1,12.56,0.01,0.06
multi_agent_2,21111008_21111009,48821.0,9660.0,9662.0,48865.0,9659.0,9660.0,0.09,0.01,0.02,0.0,0.01,0.02,0.2,0.01,0.02
multi_agent_2,21111008_21111011,157293.0,25666.0,25701.0,156579.0,25627.0,25639.0,0.45,0.15,0.24,0.0,0.15,0.24,1.04,0.14,0.22
multi_agent_2,21111008_21111014,322240.0,45475.0,45522.0,321070.0,45326.0,45338.0,0.36,0.33,0.4,0.0,0.33,0.4,0.84,0.29,0.35
multi_agent_2,21111008_21111020,655717.0,109363.0,109427.0,651428.0,109033.0,109060.0,0.65,0.3,0.34,0.0,0.3,0.34,1.53,0.29,0.32
multi_agent_2,21111020_21111021,37051.0,12084.0,12094.0,37033.0,12083.0,12084.0,0.05,0.01,0.08,0.0,0.01,0.08,0.09,0.01,0.09
multi_agent_2,21111020_21111023,109338.0,33562.0,33594.0,108737.0,33560.0,33561.0,0.55,0.01,0.1,0.0,0.01,0.1,1.05,0.01,0.1
multi_agent_2,21111020_21111102,166038.0,49972.0,50046.0,160898.0,49953.0,49960.0,3.1,0.04,0.17,0.0,0.04,0.17,5.19,0.03,0.16
multi_agent_2,21111020_21111108,166038.0,67114.0,67218.0,165387.0,67100.0,67110.0,0.39,0.02,0.16,0.0,0.02,0.16,0.46,0.02,0.12
multi_agent_2,21111208_21111209,52055.0,9714.0,9695.0,51943.0,9708.0,9713.0,0.22,0.06,0.19,0.0,0.06,0.19,0.49,0.06,0.18
multi_agent_2,21111208_21111211,160492.0,27096.0,27078.0,159992.0,26945.0,26957.0,0.31,0.56,0.45,0.0,0.56,0.45,0.72,0.53,0.43
multi_agent_2,21111208_21111214,319101.0,48296.0,48277.0,317965.0,48097.0,48113.0,0.36,0.41,0.34,0.0,0.41,0.34,0.82,0.37,0.3
multi_agent_2,21111208_21111220,650083.0,119378.0,119359.0,643021.0,118867.0,118888.0,1.09,0.43,0.39,0.0,0.43,0.39,2.54,0.43,0.39
multi_agent_2,21111220_21111221,35729.0,15829.0,15835.0,35836.0,15821.0,15826.0,0.3,0.05,0.06,0.0,0.05,0.06,0.57,0.06,0.07
multi_agent_2,21111220_21111223,106719.0,45341.0,45322.0,106118.0,45311.0,45318.0,0.56,0.07,0.01,0.0,0.07,0.01,1.06,0.08,0.01
multi_agent_2,21111220_21111302,160255.0,84455.0,84454.0,152867.0,84377.0,84400.0,4.61,0.09,0.06,0.0,0.09,0.06,7.62,0.11,0.08
multi_agent_2,21111220_21111308,296481.0,99868.0,99848.0,258496.0,99830.0,99848.0,12.81,0.04,0.0,0.0,0.04,0.0,20.82,0.03,0.0
multi_agent_2,21111408_21111409,33793.0,3423.0,3429.0,33783.0,3422.0,3422.0,0.03,0.03,0.2,1.0,0.0,0.17,0.05,0.0,0.1
multi_agent_2,21111408_21111411,118019.0,14758.0,14786.0,117695.0,14744.0,14747.0,0.27,0.09,0.26,9.0,0.03,0.2,0.54,0.02,0.14
multi_agent_2,21111408_21111414,243792.0,37323.0,37366.0,243025.0,37298.0,37306.0,0.31,0.07,0.16,11.0,0.04,0.13,0.63,0.03,0.1
multi_agent_2,21111408_21111420,494177.0,90065.0,90123.0,493619.0,90010.0,90034.0,0.11,0.06,0.1,3.0,0.06,0.1,0.23,0.05,0.08
multi_agent_2,21111420_21111421,31007.0,7631.0,7624.0,31120.0,7628.0,7630.0,0.36,0.04,0.08,0.0,0.04,0.08,0.64,0.03,0.07
multi_agent_2,21111420_21111423,82835.0,20676.0,20671.0,82771.0,20665.0,20673.0,0.08,0.05,0.01,0.0,0.05,0.01,0.13,0.04,0.01
multi_agent_2,21111420_21111502,120171.0,27909.0,27912.0,117704.0,27900.0,27907.0,2.05,0.03,0.02,0.0,0.03,0.02,2.92,0.02,0.01
multi_agent_2,21111420_21111508,284585.0,41386.0,41344.0,262115.0,41366.0,41377.0,7.9,0.05,0.08,0.0,0.05,0.08,12.41,0.03,0.05
multi_agent_3,21062308_21062309,10551.0,9660.0,9662.0,10492.0,9655.0,9660.0,0.56,0.05,0.02,0.0,0.05,0.02,0.58,0.05,0.02
multi_agent_3,21062308_21062311,37630.0,25666.0,25701.0,37487.0,25645.0,25653.0,0.38,0.08,0.19,0.0,0.08,0.19,0.43,0.08,0.17
multi_agent_3,21062308_21062314,75632.0,45475.0,45522.0,75506.0,45348.0,45370.0,0.17,0.28,0.33,0.0,0.28,0.33,0.19,0.24,0.29
multi_agent_3,21062308_21062320,159733.0,109363.0,109427.0,158190.0,109136.0,109170.0,0.97,0.21,0.23,0.0,0.21,0.23,1.12,0.2,0.22
multi_agent_3,21062320_21062321,15804.0,12084.0,12094.0,15851.0,12082.0,12083.0,0.3,0.02,0.09,0.0,0.02,0.09,0.37,0.02,0.1
multi_agent_3,21062320_21062323,36258.0,33562.0,33594.0,36195.0,33550.0,33561.0,0.17,0.04,0.1,0.0,0.04,0.1,0.19,0.04,0.1
multi_agent_3,21062320_21062402,53092.0,49972.0,50046.0,52840.0,49962.0,49972.0,0.47,0.02,0.15,0.0,0.02,0.15,0.45,0.02,0.14
multi_agent_3,21062320_21062408,151083.0,67114.0,67218.0,129984.0,67107.0,67114.0,13.97,0.01,0.15,0.0,0.01,0.15,16.25,0.01,0.12
multi_agent_3,21062508_21062509,10953.0,9714.0,9695.0,10950.0,9713.0,9714.0,0.03,0.01,0.2,0.0,0.01,0.2,0.03,0.01,0.19
multi_agent_3,21062508_21062511,41406.0,27096.0,27078.0,41352.0,27050.0,27056.0,0.13,0.17,0.08,0.0,0.17,0.08,0.15,0.16,0.08
multi_agent_3,21062508_21062514,86371.0,48296.0,48277.0,86468.0,48233.0,48243.0,0.11,0.13,0.07,0.0,0.13,0.07,0.13,0.12,0.06
multi_agent_3,21062508_21062520,181921.0,119378.0,119359.0,181313.0,119008.0,119037.0,0.33,0.31,0.27,0.0,0.31,0.27,0.41,0.31,0.27
multi_agent_3,21062520_21062521,12622.0,15829.0,15835.0,12491.0,15826.0,15829.0,1.04,0.02,0.04,0.0,0.02,0.04,1.17,0.02,0.05
multi_agent_3,21062520_21062523,30039.0,45341.0,45322.0,30181.0,45318.0,45332.0,0.47,0.05,0.02,0.0,0.05,0.02,0.47,0.06,0.03
multi_agent_3,21062520_21062602,45968.0,84455.0,84454.0,45759.0,84004.0,84021.0,0.45,0.53,0.51,0.0,0.53,0.51,0.4,0.63,0.61
multi_agent_3,21062520_21062608,134741.0,99868.0,99848.0,128279.0,99811.0,99831.0,4.8,0.06,0.02,0.0,0.06,0.02,5.14,0.05,0.02
multi_agent_3,21062708_21062709,33057.0,3423.0,3429.0,33068.0,3422.0,3422.0,0.03,0.03,0.2,0.0,0.03,0.2,0.06,0.02,0.12
multi_agent_3,21062708_21062711,108240.0,14758.0,14786.0,108184.0,14751.0,14754.0,0.05,0.05,0.22,0.0,0.05,0.22,0.1,0.03,0.15
multi_agent_3,21062708_21062714,229888.0,37323.0,37366.0,229412.0,37301.0,37308.0,0.21,0.06,0.16,0.0,0.06,0.16,0.41,0.05,0.12
multi_agent_3,21062708_21062720,438151.0,90065.0,90123.0,437522.0,90001.0,90022.0,0.14,0.07,0.11,0.0,0.07,0.11,0.27,0.06,0.1
multi_agent_3,21062720_21062721,24371.0,7631.0,7624.0,24374.0,7631.0,7631.0,0.01,0.0,0.09,0.0,0.0,0.09,0.02,0.0,0.08
multi_agent_3,21062720_21062723,62088.0,20676.0,20671.0,62061.0,20670.0,20673.0,0.04,0.03,0.01,0.0,0.03,0.01,0.06,0.02,0.01
multi_agent_3,21062720_21062802,82424.0,27909.0,27912.0,80620.0,27900.0,27907.0,2.19,0.03,0.02,0.0,0.03,0.02,2.58,0.02,0.01
multi_agent_3,21062720_21062808,230410.0,41386.0,41344.0,211366.0,41374.0,41385.0,8.27,0.03,0.1,0.0,0.03,0.1,11.7,0.02,0.06
multi_agent_3,21100608_21100609,53856.0,9660.0,9662.0,53699.0,9656.0,9657.0,0.29,0.04,0.05,0.0,0.04,0.05,0.68,0.04,0.05
multi_agent_3,21100608_21100611,169759.0,25666.0,25701.0,169667.0,25621.0,25627.0,0.05,0.18,0.29,0.0,0.18,0.29,0.13,0.16,0.27
multi_agent_3,21100608_21100614,342625.0,45475.0,45522.0,341161.0,45402.0,45410.0,0.43,0.16,0.25,0.0,0.16,0.25,1.02,0.14,0.21
multi_agent_3,21100608_21100620,671556.0,109363.0,109427.0,664503.0,108727.0,108750.0,1.05,0.58,0.62,0.0,0.58,0.62,2.49,0.56,0.59
multi_agent_3,21100620_21100621,37011.0,12084.0,12094.0,36698.0,12084.0,12084.0,0.85,0.0,0.08,0.0,0.0,0.08,1.63,0.0,0.09
multi_agent_3,21100620_21100623,97628.0,33562.0,33594.0,97073.0,33551.0,33555.0,0.57,0.03,0.12,0.0,0.03,0.12,1.03,0.03,0.12
multi_agent_3,21100620_21100702,150054.0,49972.0,50046.0,144370.0,49931.0,49935.0,3.79,0.08,0.22,0.0,0.08,0.22,6.05,0.07,0.2
multi_agent_3,21100620_21100708,322938.0,67114.0,67218.0,295995.0,67078.0,67091.0,8.34,0.05,0.19,0.0,0.05,0.19,13.98,0.04,0.14
multi_agent_3,21100808_21100809,52266.0,9714.0,9695.0,52156.0,9705.0,9708.0,0.21,0.09,0.13,0.0,0.09,0.13,0.48,0.09,0.13
multi_agent_3,21100808_21100811,169061.0,27096.0,27078.0,167482.0,26829.0,26835.0,0.93,0.99,0.9,0.0,0.99,0.9,2.22,0.94,0.85
multi_agent_3,21100808_21100814,340681.0,48296.0,48277.0,331141.0,47468.0,47479.0,2.8,1.71,1.65,0.0,1.71,1.65,6.72,1.54,1.49
multi_agent_3,21100808_21100820,691480.0,119378.0,119359.0,674025.0,118248.0,118282.0,2.52,0.95,0.9,0.0,0.95,0.9,6.1,0.95,0.9
multi_agent_3,21100820_21100821,39252.0,15829.0,15835.0,39098.0,15824.0,15828.0,0.39,0.03,0.04,0.0,0.03,0.04,0.78,0.04,0.06
multi_agent_3,21100820_21100823,113608.0,45341.0,45322.0,111347.0,45234.0,45236.0,1.99,0.24,0.19,0.0,0.24,0.19,3.89,0.29,0.23
multi_agent_3,21100820_21100902,164152.0,84455.0,84454.0,158682.0,84404.0,84427.0,3.33,0.06,0.03,0.0,0.06,0.03,5.56,0.07,0.04
multi_agent_3,21100820_21100908,283901.0,99868.0,99848.0,260855.0,99784.0,99806.0,8.12,0.08,0.04,0.0,0.08,0.04,12.75,0.08,0.04
multi_agent_3,21101008_21101009,34306.0,3423.0,3429.0,34198.0,3417.0,3417.0,0.31,0.18,0.35,5.0,0.03,0.2,0.58,0.02,0.12
multi_agent_3,21101008_21101011,114843.0,14758.0,14786.0,114393.0,14751.0,14754.0,0.39,0.05,0.22,2.0,0.03,0.2,0.77,0.02,0.14
multi_agent_3,21101008_21101014,238728.0,37323.0,37366.0,238371.0,37312.0,37318.0,0.15,0.03,0.13,1.0,0.03,0.13,0.3,0.02,0.1
multi_agent_3,21101008_21101020,487096.0,90065.0,90123.0,485853.0,90015.0,90028.0,0.26,0.06,0.11,1.0,0.05,0.1,0.51,0.05,0.09
multi_agent_3,21101020_21101021,30505.0,7631.0,7624.0,30555.0,7626.0,7628.0,0.16,0.07,0.05,0.0,0.07,0.05,0.29,0.06,0.05
multi_agent_3,21101020_21101023,81372.0,20676.0,20671.0,81304.0,20671.0,20674.0,0.08,0.02,0.01,0.0,0.02,0.01,0.14,0.02,0.01
multi_agent_3,21101020_21101108,282048.0,41386.0,41344.0,259385.0,41375.0,41384.0,8.04,0.03,0.1,0.0,0.03,0.1,12.57,0.02,0.06
multi_agent_3,21111008_21111009,48821.0,9660.0,9662.0,48892.0,9654.0,9656.0,0.15,0.06,0.06,0.0,0.06,0.06,0.32,0.06,0.06
