mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error
social_groups,21062308_21062309,12143,9660,9662,10496,7755,7755,13.56,19.72,19.74,1905,0.0,0.02
social_groups,21062308_21062311,41544,25666,25701,37642,22922,22924,9.39,10.69,10.81,2740,0.02,0.14
social_groups,21062308_21062314,80013,45475,45522,75673,41834,41843,5.42,8.01,8.08,3628,0.03,0.11
social_groups,21062320_21062321,20567,12084,12094,15756,10563,10564,23.39,12.59,12.65,1520,0.01,0.08
social_groups,21062320_21062323,48298,33562,33594,36251,31190,31197,24.94,7.07,7.14,2364,0.02,0.1
social_groups,21062320_21062402,83891,49972,50046,53056,46670,46676,36.76,6.61,6.73,3296,0.01,0.15
social_groups,21062508_21062509,12340,9714,9695,10944,7780,7781,11.31,19.91,19.74,1933,0.01,0.2
social_groups,21062508_21062511,45495,27096,27078,41399,24349,24360,9.0,10.14,10.04,2736,0.04,0.07
social_groups,21062508_21062514,90456,48296,48277,86280,44789,44813,4.62,7.26,7.18,3483,0.05,0.04
social_groups,21062508_21062520,186808,119378,119359,181940,113953,113975,2.61,4.54,4.51,5386,0.03,0.0
social_groups,21062520_21062521,14716,15829,15835,12635,13769,13772,14.14,13.01,13.03,2057,0.02,0.04
social_groups,21062520_21062523,35240,45341,45322,29780,42114,42118,15.49,7.12,7.07,3220,0.02,0.04
social_groups,21062520_21062602,61157,84455,84454,45894,79380,79391,24.96,6.01,5.99,5059,0.02,0.0
social_groups,21062520_21062608,155191,99868,99848,129901,94227,94257,16.3,5.65,5.6,5600,0.04,0.01
social_groups,21062708_21062709,37607,3423,3429,33094,2389,2390,12.0,30.21,30.3,1033,0.03,0.17
social_groups,21062708_21062711,121361,14758,14786,108364,12997,13000,10.71,11.93,12.08,1755,0.04,0.21
social_groups,21062708_21062714,256515,37323,37366,229544,35076,35090,10.51,6.02,6.09,2222,0.07,0.14
social_groups,21062708_21062720,487505,90065,90123,437188,86994,87012,10.32,3.41,3.45,3035,0.04,0.08
social_groups,21062720_21062721,31320,7631,7624,24329,6694,6694,22.32,12.28,12.2,937,0.0,0.09
social_groups,21062720_21062723,82554,20676,20671,61865,19253,19255,25.06,6.88,6.85,1419,0.02,0.01
social_groups,21062720_21062802,122837,27909,27912,80783,26200,26202,34.24,6.12,6.13,1705,0.01,0.02
social_groups,21062720_21062808,274218,41386,41344,211772,38173,38183,22.77,7.76,7.65,3198,0.04,0.09
social_groups,21100608_21100609,60583,9660,9662,53826,7118,7118,11.15,26.31,26.33,2542,0.0,0.02
social_groups,21100608_21100611,184538,25666,25701,169639,22238,22239,8.07,13.36,13.47,3420,0.03,0.16
social_groups,21100608_21100614,366281,45475,45522,342378,41622,41636,6.53,8.47,8.54,3821,0.07,0.14
social_groups,21100608_21100620,701441,109363,109427,666525,104079,104103,4.98,4.83,4.87,5034,0.23,0.27
social_groups,21100620_21100621,43360,12084,12094,37048,10332,10334,14.56,14.5,14.55,1749,0.02,0.09
social_groups,21100620_21100623,111345,33562,33594,97505,31031,31040,12.43,7.54,7.6,2518,0.04,0.11
social_groups,21100620_21100702,175555,49972,50046,143857,46180,46194,18.06,7.59,7.7,3777,0.03,0.15
social_groups,21100620_21100708,357374,67114,67218,297973,61501,61518,16.62,8.36,8.48,5498,0.17,0.3
social_groups,21100808_21100809,59222,9714,9695,52374,7243,7243,11.56,25.44,25.29,2462,0.09,0.1
social_groups,21100808_21100811,185427,27096,27078,167906,23374,23385,9.45,13.74,13.64,3670,0.19,0.08
social_groups,21100808_21100814,367193,48296,48277,333959,44065,44075,9.05,8.76,8.7,4078,0.32,0.26
social_groups,21100808_21100820,721009,119378,119359,675089,111091,111114,6.37,6.94,6.91,7597,0.58,0.54
social_groups,21100820_21100821,45979,15829,15835,39349,13473,13474,14.42,14.88,14.91,2354,0.01,0.04
social_groups,21100820_21100823,129778,45341,45322,111817,42214,42224,13.84,6.9,6.84,3105,0.05,0.02
social_groups,21100820_21100902,192505,84455,84454,159263,78894,78902,17.27,6.58,6.57,5484,0.09,0.08
social_groups,21100820_21100908,321579,99868,99848,263514,93964,93979,18.06,5.91,5.88,5780,0.12,0.09
social_groups,21101008_21101009,40097,3423,3429,34043,2451,2452,15.1,28.4,28.49,971,0.03,0.17
social_groups,21101008_21101011,128141,14758,14786,114768,12832,12836,10.44,13.05,13.19,1922,0.03,0.19
social_groups,21101008_21101014,261957,37323,37366,238335,35056,35059,9.02,6.07,6.17,2256,0.03,0.14
social_groups,21101008_21101020,525699,90065,90123,487050,87026,87049,7.35,3.37,3.41,3001,0.04,0.08
social_groups,21101020_21101021,36216,7631,7624,30352,6458,6460,16.19,15.37,15.27,1170,0.04,0.08
social_groups,21101020_21101023,97323,20676,20671,81228,19160,19165,16.54,7.33,7.29,1508,0.04,0.01
social_groups,21101020_21101102,145559,27909,27912,112852,26210,26216,22.47,6.09,6.08,1693,0.02,0.01
social_groups,21101020_21101108,314998,41386,41344,259926,38173,38182,17.48,7.76,7.65,3201,0.03,0.09
social_groups,21111008_21111009,55824,9660,9662,48893,7382,7384,12.42,23.58,23.58,2276,0.02,0.02
