mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
social_groups,21100608_21100611,220631,33558,33735,197632,18314,18316,10.42,45.43,45.71,14674,1.7,2.21,29.04,1.8,2.35
social_groups,21100620_21100623,124815,43946,43637,115275,29903,29909,7.64,31.96,31.46,13967,0.17,0.55,15.9,0.21,0.66
social_groups,21100808_21100811,220608,35584,35663,195459,18037,18040,11.4,49.31,49.42,16871,1.9,2.11,31.83,2.08,2.31
social_groups,21100820_21100823,141663,59491,59304,130738,39302,39312,7.71,33.94,33.71,20112,0.13,0.2,17.09,0.18,0.28
social_groups,21111008_21111011,203232,33558,33735,184683,19196,19203,9.13,42.8,43.08,14147,0.64,1.14,24.32,0.68,1.21
social_groups,21111020_21111023,136763,43946,43637,127251,29693,29705,6.96,32.43,31.93,14242,0.03,0.71,15.12,0.03,0.86
social_groups,21111208_21111211,207531,35584,35663,187583,20084,20089,9.61,43.56,43.67,15000,1.41,1.61,25.91,1.54,1.76
social_groups,21111220_21111223,133012,59491,59304,123448,39075,39080,7.19,34.32,34.1,20380,0.06,0.26,15.42,0.09,0.37
social_groups,21111408_21111411,154376,19240,19178,141999,11173,11175,8.02,41.93,41.73,8077,0.05,0.39,18.56,0.04,0.31
social_groups,21111420_21111423,103899,26919,26837,96663,19149,19152,6.96,28.86,28.64,7749,0.08,0.24,13.19,0.07,0.23
