mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
social_groups,21062308_21062314,75632,45475,45522,75592,38965,38979,0.05,14.32,14.37,6495,0.03,0.11,0.06,0.03,0.09
social_groups,21062320_21062402,53092,49972,50046,53025,43410,43428,0.13,13.13,13.22,6544,0.04,0.15,0.12,0.03,0.14
social_groups,21062508_21062514,86371,48296,48277,86753,41547,41564,0.44,13.97,13.91,6732,0.04,0.04,0.53,0.03,0.04
social_groups,21062520_21062602,45968,84455,84454,45842,71582,71590,0.27,15.24,15.23,12864,0.01,0.0,0.24,0.01,0.0
social_groups,21062708_21062714,229888,37323,37366,228765,31344,31353,0.49,16.02,16.09,5958,0.06,0.15,0.96,0.04,0.12
social_groups,21062720_21062802,82424,27909,27912,80864,24388,24393,1.89,12.62,12.61,3515,0.02,0.01,2.23,0.01,0.01
social_groups,21100608_21100614,342625,45475,45522,341798,38228,38237,0.24,15.94,16.0,7163,0.18,0.27,0.58,0.16,0.23
social_groups,21100620_21100702,150054,49972,50046,143856,43381,43387,4.13,13.19,13.31,6577,0.03,0.16,6.6,0.03,0.15
social_groups,21100808_21100814,340681,48296,48277,333796,40829,40841,2.02,15.46,15.4,7286,0.37,0.31,4.84,0.34,0.28
social_groups,21100820_21100902,164152,84455,84454,158962,73012,73024,3.16,13.55,13.53,11425,0.02,0.01,5.27,0.03,0.01
social_groups,21101008_21101014,238728,37323,37366,238836,30019,30030,0.05,19.57,19.63,7290,0.04,0.12,0.09,0.03,0.1
social_groups,21101020_21101102,114096,27909,27912,112930,24609,24614,1.02,11.82,11.82,3292,0.03,0.02,1.41,0.02,0.01
social_groups,21111008_21111014,322240,45475,45522,322808,38818,38825,0.18,14.64,14.71,6626,0.07,0.16,0.41,0.06,0.14
social_groups,21111020_21111102,166038,49972,50046,160857,43926,43932,3.12,12.1,12.22,6019,0.05,0.19,5.23,0.05,0.17
social_groups,21111208_21111214,319101,48296,48277,319077,40807,40816,0.01,15.51,15.45,7467,0.05,0.01,0.02,0.04,0.01
social_groups,21111220_21111302,160255,84455,84454,152965,71653,71671,4.55,15.16,15.14,12741,0.07,0.05,7.52,0.09,0.06
social_groups,21111408_21111414,243792,37323,37366,243694,30381,30382,0.04,18.6,18.69,6933,0.02,0.14,0.08,0.02,0.11
social_groups,21111420_21111502,120171,27909,27912,118294,24263,24266,1.56,13.06,13.06,3641,0.02,0.02,2.22,0.01,0.01
