mode,date,traffic_input,pickup_input,dropoff_input,traffic_output,pickup_output,dropoff_output,traffic_error,pickup_error,dropoff_error,canceled_rides,pickup_scaled_error,dropoff_scaled_error,geh_traffic,geh_pickup,geh_dropoff
social_groups,21062308_21062314,76344,48842,48997,76040,41177,41185,0.4,15.69,15.94,7541,0.25,0.55,0.45,0.23,0.5
social_groups,21062320_21062402,53530,53627,53493,53617,44980,44994,0.16,16.12,15.89,8434,0.4,0.12,0.15,0.38,0.11
social_groups,21062508_21062514,87559,52240,52377,87551,44196,44206,0.01,15.4,15.6,7794,0.48,0.72,0.01,0.45,0.67
social_groups,21062520_21062602,46253,92608,92413,46001,75933,75943,0.54,18.01,17.82,16319,0.38,0.16,0.48,0.48,0.2
social_groups,21062708_21062714,231974,40838,40826,231761,34196,34204,0.09,16.26,16.22,6450,0.47,0.42,0.18,0.39,0.35
social_groups,21062720_21062802,82675,29934,29853,81100,25702,25708,1.91,14.14,13.88,4148,0.28,0.01,2.25,0.2,0.01
social_groups,21100608_21100614,346819,48842,48997,346489,40720,40734,0.1,16.63,16.86,7897,0.46,0.75,0.23,0.42,0.68
social_groups,21100620_21100702,151582,53627,53493,146126,45059,45068,3.6,15.98,15.75,8455,0.21,0.06,5.77,0.2,0.05
social_groups,21100808_21100814,344627,52240,52377,338298,43121,43132,1.84,17.46,17.65,8759,0.69,0.93,4.42,0.64,0.87
social_groups,21100820_21100902,165516,92608,92413,160441,75775,75788,3.07,18.18,17.99,16359,0.51,0.29,5.13,0.64,0.36
social_groups,21101008_21101014,241807,40838,40826,241811,33746,33754,0.0,17.37,17.32,6881,0.52,0.47,0.0,0.43,0.39
social_groups,21101020_21101102,114643,29934,29853,113254,25771,25773,1.21,13.91,13.67,4098,0.22,0.06,1.68,0.15,0.04
social_groups,21111008_21111014,326004,48842,48997,325668,40416,40427,0.1,17.25,17.49,8106,0.66,0.95,0.24,0.59,0.86
social_groups,21111020_21111102,167517,53627,53493,162836,45109,45113,2.79,15.88,15.67,8312,0.38,0.13,4.7,0.36,0.12
social_groups,21111208_21111214,322838,52240,52377,322026,43725,43740,0.25,16.3,16.49,8249,0.51,0.74,0.58,0.48,0.69
social_groups,21111220_21111302,161581,92608,92413,154820,76420,76436,4.18,17.48,17.29,15779,0.44,0.21,6.94,0.55,0.27
social_groups,21111408_21111414,246612,40838,40826,246259,34099,34108,0.14,16.5,16.46,6592,0.36,0.31,0.29,0.3,0.25
social_groups,21111420_21111502,120935,29934,29853,118795,25896,25899,1.77,13.49,13.24,3933,0.35,0.07,2.52,0.25,0.05
