mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
social_groups,21062308_21062309,408.68,6.81,95.25,1.59,281.07,4.68
social_groups,21062308_21062311,919.73,15.33,270.19,4.5,579.6,9.66
social_groups,21062308_21062314,1550.38,25.84,505.7,8.43,936.65,15.61
social_groups,21062308_21062320,1186.52,19.78,0.0,0.0,0.0,0.0
social_groups,21062320_21062321,460.72,7.68,128.37,2.14,297.34,4.96
social_groups,21062320_21062323,1067.9,17.8,315.79,5.26,672.3,11.2
social_groups,21062320_21062402,1628.33,27.14,482.5,8.04,1028.59,17.14
social_groups,21062320_21062408,2938.22,48.97,0.0,0.0,0.0,0.0
social_groups,21062508_21062509,418.11,6.97,94.16,1.57,291.58,4.86
social_groups,21062508_21062511,950.71,15.85,276.0,4.6,602.22,10.04
social_groups,21062508_21062514,1551.26,25.85,521.31,8.69,917.48,15.29
social_groups,21062508_21062520,3974.83,66.25,1338.53,22.31,2366.95,39.45
social_groups,21062520_21062521,609.8,10.16,149.41,2.49,414.14,6.9
social_groups,21062520_21062523,1357.84,22.63,382.18,6.37,871.31,14.52
social_groups,21062520_21062602,2448.01,40.8,699.02,11.65,1563.23,26.05
social_groups,21062520_21062608,3587.64,59.79,1346.52,22.44,2012.34,33.54
social_groups,21062708_21062709,246.19,4.1,105.64,1.76,126.48,2.11
social_groups,21062708_21062711,794.43,13.24,384.02,6.4,367.44,6.12
social_groups,21062708_21062714,1686.12,28.1,878.98,14.65,724.46,12.07
social_groups,21062708_21062720,3573.84,59.56,1799.58,29.99,1597.95,26.63
social_groups,21062720_21062721,330.82,5.51,116.7,1.94,192.02,3.2
social_groups,21062720_21062723,741.96,12.37,294.39,4.91,399.99,6.67
social_groups,21062720_21062802,1112.56,18.54,484.96,8.08,563.86,9.4
social_groups,21062720_21062808,3266.13,54.44,2055.72,34.26,1097.92,18.3
social_groups,21100608_21100609,539.19,8.99,194.48,3.24,309.3,5.16
social_groups,21100608_21100611,1342.32,22.37,623.75,10.4,642.75,10.71
social_groups,21100608_21100614,2362.28,39.37,1289.11,21.49,958.97,15.98
social_groups,21100608_21100620,5408.24,90.14,3063.06,51.05,2102.56,35.04
social_groups,21100620_21100621,550.05,9.17,177.35,2.96,335.64,5.59
social_groups,21100620_21100623,1288.41,21.47,474.78,7.91,729.13,12.15
social_groups,21100620_21100702,2011.33,33.52,868.6,14.48,1020.65,17.01
social_groups,21100620_21100708,4459.31,74.32,2636.93,43.95,1642.89,27.38
social_groups,21100808_21100809,560.75,9.35,195.08,3.25,329.62,5.49
social_groups,21100808_21100811,1472.83,24.55,680.17,11.34,711.15,11.85
social_groups,21100808_21100814,2746.39,45.77,1605.79,26.76,1018.56,16.98
social_groups,21100808_21100820,7809.7,130.16,4542.2,75.7,2956.94,49.28
social_groups,21100820_21100821,702.66,11.71,219.85,3.66,433.23,7.22
social_groups,21100820_21100823,1775.12,29.59,722.21,12.04,945.96,15.77
social_groups,21100820_21100902,3405.46,56.76,1347.49,22.46,1855.45,30.92
social_groups,21100820_21100908,5284.77,88.08,2804.19,46.74,2240.23,37.34
social_groups,21101008_21101009,236.57,3.94,103.07,1.72,120.1,2.0
social_groups,21101008_21101011,835.01,13.92,372.31,6.21,417.65,6.96
social_groups,21101008_21101014,1654.22,27.57,838.06,13.97,730.98,12.18
social_groups,21101008_21101020,3648.87,60.81,1905.74,31.76,1569.45,26.16
social_groups,21101020_21101021,352.61,5.88,130.15,2.17,198.67,3.31
social_groups,21101020_21101023,802.97,13.38,338.8,5.65,415.57,6.93
social_groups,21101020_21101102,1167.06,19.45,542.5,9.04,560.86,9.35
social_groups,21101020_21101108,3648.52,60.81,2425.47,40.42,1109.6,18.49
social_groups,21111008_21111009,522.46,8.71,181.94,3.03,306.19,5.1
social_groups,21111008_21111011,1363.66,22.73,607.19,10.12,678.42,11.31
social_groups,21111008_21111014,2342.12,39.04,1217.57,20.29,1008.49,16.81
social_groups,21111008_21111020,5290.33,88.17,2808.05,46.8,2229.8,37.16
social_groups,21111020_21111021,530.57,8.84,174.48,2.91,318.84,5.31
social_groups,21111020_21111023,1306.31,21.77,499.72,8.33,722.42,12.04
social_groups,21111020_21111102,2195.68,36.59,937.54,15.63,1129.91,18.83
social_groups,21111020_21111108,3010.9,50.18,1192.13,19.87,1645.22,27.42
social_groups,21111208_21111209,527.71,8.8,187.66,3.13,305.1,5.08
social_groups,21111208_21111211,1372.49,22.87,636.79,10.61,656.83,10.95
social_groups,21111208_21111214,2350.06,39.17,1236.81,20.61,991.5,16.52
social_groups,21111208_21111220,5885.48,98.09,2898.75,48.31,2683.66,44.73
social_groups,21111220_21111221,679.74,11.33,209.38,3.49,422.97,7.05
social_groups,21111220_21111223,1673.02,27.88,629.01,10.48,938.56,15.64
social_groups,21111220_21111302,2969.04,49.48,1167.38,19.46,1610.1,26.83
social_groups,21111220_21111308,5600.46,93.34,3287.62,54.79,2072.24,34.54
social_groups,21111408_21111409,237.94,3.97,102.09,1.7,122.14,2.04
social_groups,21111408_21111411,834.78,13.91,382.68,6.38,407.26,6.79
social_groups,21111408_21111414,1690.36,28.17,861.78,14.36,746.65,12.44
social_groups,21111408_21111420,3762.06,62.7,1932.09,32.2,1650.04,27.5
social_groups,21111420_21111421,353.25,5.89,135.14,2.25,195.92,3.27
social_groups,21111420_21111423,785.12,13.09,342.55,5.71,395.39,6.59
social_groups,21111420_21111502,1187.85,19.8,562.27,9.37,562.33,9.37
social_groups,21111420_21111508,3548.8,59.15,2359.76,39.33,1077.62,17.96
