mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes
social_groups,21062308_21062309,427.91,7.13,88.91,1.48,292.01,4.87
social_groups,21062308_21062311,958.63,15.98,254.76,4.25,599.91,10.0
social_groups,21062308_21062314,1628.39,27.14,483.13,8.05,975.34,16.26
social_groups,21062308_21062320,3905.24,65.09,1183.37,19.72,2326.75,38.78
social_groups,21062320_21062321,501.67,8.36,118.95,1.98,329.8,5.5
social_groups,21062320_21062323,1161.25,19.35,300.33,5.01,734.79,12.25
social_groups,21062320_21062402,1795.09,29.92,444.74,7.41,1152.84,19.21
social_groups,21062320_21062408,3964.78,66.08,1915.52,31.93,1760.4,29.34
social_groups,21062508_21062509,422.07,7.03,85.99,1.43,288.26,4.8
social_groups,21062508_21062511,976.15,16.27,255.37,4.26,611.91,10.2
social_groups,21062508_21062514,1655.72,27.6,502.65,8.38,977.9,16.3
social_groups,21062508_21062520,4436.97,73.95,1254.81,20.91,2714.75,45.25
social_groups,21062520_21062521,627.43,10.46,134.98,2.25,421.46,7.02
social_groups,21062520_21062523,1526.82,25.45,362.46,6.04,992.73,16.55
social_groups,21062520_21062602,2750.63,45.84,660.22,11.0,1782.28,29.7
social_groups,21062520_21062608,3958.67,65.98,1184.08,19.73,2370.15,39.5
social_groups,21062708_21062709,247.64,4.13,104.38,1.74,124.53,2.08
social_groups,21062708_21062711,840.29,14.0,374.18,6.24,402.2,6.7
social_groups,21062708_21062714,1791.11,29.85,851.42,14.19,801.86,13.36
social_groups,21062708_21062720,3935.98,65.6,1761.68,29.36,1870.48,31.17
social_groups,21062720_21062721,344.59,5.74,109.02,1.82,202.34,3.37
social_groups,21062720_21062723,800.05,13.33,282.61,4.71,442.61,7.38
social_groups,21062720_21062802,1203.24,20.05,453.18,7.55,645.04,10.75
social_groups,21062720_21062808,3354.24,55.9,1945.46,32.42,1227.48,20.46
social_groups,21100608_21100609,532.14,8.87,187.35,3.12,296.12,4.94
social_groups,21100608_21100611,1374.59,22.91,598.12,9.97,663.24,11.05
social_groups,21100608_21100614,2452.83,40.88,1246.06,20.77,1024.02,17.07
social_groups,21100608_21100620,5981.12,99.69,2936.43,48.94,2607.04,43.45
social_groups,21100620_21100621,541.46,9.02,166.41,2.77,322.74,5.38
social_groups,21100620_21100623,1360.26,22.67,456.38,7.61,773.16,12.89
social_groups,21100620_21100702,2090.27,34.84,819.73,13.66,1082.79,18.05
social_groups,21100620_21100708,4575.62,76.26,2477.81,41.3,1796.57,29.94
social_groups,21100808_21100809,549.02,9.15,185.61,3.09,312.2,5.2
social_groups,21100808_21100811,1429.7,23.83,641.51,10.69,669.28,11.15
social_groups,21100808_21100814,2754.38,45.91,1500.34,25.01,1064.97,17.75
social_groups,21100808_21100820,7650.12,127.5,4237.91,70.63,2921.6,48.69
social_groups,21100820_21100821,733.46,12.22,208.29,3.47,451.15,7.52
social_groups,21100820_21100823,1862.44,31.04,674.98,11.25,1016.78,16.95
social_groups,21100820_21100902,3351.12,55.85,1167.37,19.46,1869.75,31.16
social_groups,21100820_21100908,5476.96,91.28,2581.74,43.03,2473.37,41.22
social_groups,21101008_21101009,243.27,4.05,101.12,1.69,123.56,2.06
social_groups,21101008_21101011,814.45,13.57,364.22,6.07,388.67,6.48
social_groups,21101008_21101014,1771.56,29.53,806.02,13.43,829.39,13.82
social_groups,21101008_21101020,4058.56,67.64,1868.25,31.14,1887.4,31.46
social_groups,21101020_21101021,360.4,6.01,125.14,2.09,201.74,3.36
social_groups,21101020_21101023,839.12,13.99,329.23,5.49,437.33,7.29
social_groups,21101020_21101102,1232.52,20.54,514.45,8.57,614.42,10.24
social_groups,21101020_21101108,3814.58,63.58,2383.02,39.72,1246.94,20.78
social_groups,21111008_21111009,576.7,9.61,181.48,3.02,344.08,5.73
social_groups,21111008_21111011,1319.38,21.99,569.31,9.49,641.19,10.69
social_groups,21111008_21111014,2440.35,40.67,1193.69,19.89,1066.28,17.77
social_groups,21111008_21111020,5716.75,95.28,2706.77,45.11,2592.03,43.2
social_groups,21111020_21111021,550.76,9.18,165.03,2.75,331.24,5.52
social_groups,21111020_21111023,1403.93,23.4,491.16,8.19,781.5,13.02
social_groups,21111020_21111102,4413.22,73.55,3009.21,50.15,1203.48,20.06
social_groups,21111020_21111108,5577.79,92.96,1216.01,20.27,4037.64,67.29
social_groups,21111208_21111209,5684.54,94.74,2395.86,39.93,2338.09,38.97
social_groups,21111208_21111211,20459.76,341.0,9723.29,162.05,8654.97,144.25
social_groups,21111208_21111214,2850.54,47.51,1461.18,24.35,1165.97,19.43
social_groups,21111208_21111220,70329.3,1172.16,29725.84,495.43,34648.48,577.47
social_groups,21111220_21111221,11876.32,197.94,693.21,11.55,7167.83,119.46
social_groups,21111220_21111223,1727.39,28.79,593.7,9.9,972.44,16.21
social_groups,21111220_21111302,3323.48,55.39,1104.78,18.41,1886.99,31.45
social_groups,21111220_21111308,6094.36,101.57,3139.88,52.33,2524.5,42.08
