mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time,total_load
social_groups,21062308_21062314,1428.34,23.81,514.21,8.57,788.3,13.14,0.36,0.55,167447
social_groups,21062320_21062402,1576.21,26.27,472.72,7.88,961.28,16.02,0.3,0.61,152655
social_groups,21062508_21062514,1635.29,27.25,572.88,9.55,921.62,15.36,0.35,0.56,185653
social_groups,21062520_21062602,2726.45,45.44,717.74,11.96,1752.79,29.21,0.26,0.64,214078
social_groups,21062708_21062714,1746.11,29.1,917.03,15.28,722.01,12.03,0.53,0.41,310098
social_groups,21062720_21062802,1073.21,17.89,469.26,7.82,526.6,8.78,0.44,0.49,137115
social_groups,21100608_21100614,2446.58,40.78,1422.34,23.71,887.56,14.79,0.58,0.36,443670
social_groups,21100620_21100702,2012.14,33.54,874.27,14.57,989.66,16.49,0.43,0.49,246837
social_groups,21100808_21100814,2712.56,45.21,1666.7,27.78,902.85,15.05,0.61,0.33,440688
social_groups,21100820_21100902,3217.52,53.63,1232.22,20.54,1731.28,28.85,0.38,0.54,329580
social_groups,21101008_21101014,1762.51,29.38,915.93,15.27,738.76,12.31,0.52,0.42,322845
social_groups,21101020_21101102,1143.96,19.07,535.15,8.92,532.41,8.87,0.47,0.47,169444
social_groups,21111008_21111014,2270.26,37.84,1305.49,21.76,832.84,13.88,0.58,0.37,421708
social_groups,21111020_21111102,2029.3,33.82,895.73,14.93,984.68,16.41,0.44,0.49,262824
social_groups,21111208_21111214,2414.75,40.25,1357.34,22.62,915.06,15.25,0.56,0.38,424784
social_groups,21111220_21111302,3130.71,52.18,1167.65,19.46,1708.38,28.47,0.37,0.55,324501
social_groups,21111408_21111414,1747.08,29.12,899.97,15.0,739.47,12.32,0.52,0.42,326530
social_groups,21111420_21111502,1161.2,19.35,556.12,9.27,530.3,8.84,0.48,0.46,175425
