mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time
social_groups,21062308_21062311,1708.59,28.48,317.01,5.28,1151.48,19.19,0.19,0.67
social_groups,21062320_21062323,2175.42,36.26,365.13,6.09,1517.31,25.29,0.17,0.7
social_groups,21100608_21100611,2876.8,47.95,1218.7,20.31,1372.24,22.87,0.42,0.48
social_groups,21100620_21100623,2519.67,41.99,623.52,10.39,1594.83,26.58,0.25,0.63
social_groups,21100808_21100811,3232.57,53.88,1405.83,23.43,1520.4,25.34,0.43,0.47
social_groups,21100820_21100823,3746.25,62.44,937.07,15.62,2343.88,39.06,0.25,0.63
social_groups,21101008_21101011,1468.98,24.48,552.78,9.21,769.88,12.83,0.38,0.52
social_groups,21101020_21101023,1629.9,27.17,455.72,7.6,988.22,16.47,0.28,0.61
social_groups,21111008_21111011,2595.98,43.27,1002.47,16.71,1318.38,21.97,0.39,0.51
social_groups,21111020_21111023,2674.5,44.58,698.19,11.64,1647.17,27.45,0.26,0.62
social_groups,21111208_21111211,2730.76,45.51,1051.48,17.52,1385.24,23.09,0.39,0.51
social_groups,21111220_21111223,3550.94,59.18,790.99,13.18,2319.69,38.66,0.22,0.65
social_groups,21111408_21111411,1545.94,25.77,565.84,9.43,822.38,13.71,0.37,0.53
social_groups,21111420_21111423,1623.71,27.06,463.12,7.72,974.62,16.24,0.29,0.6
