mode,date,elapsed_seconds,elapsed_minutes,sumo_time,sumo_minutes,agents_time,agents_minutes,sumo_perc_time,agents_perc_time
social_groups,21062308_21062314,1767.07,29.45,611.64,10.19,1024.05,17.07,0.35,0.58
social_groups,21062320_21062402,1611.14,26.85,712.43,11.87,706.68,11.78,0.44,0.44
social_groups,21062508_21062514,1641.33,27.36,532.73,8.88,923.69,15.39,0.32,0.56
social_groups,21062520_21062602,1856.78,30.95,929.61,15.49,603.31,10.06,0.5,0.32
social_groups,21062708_21062714,1774.87,29.58,860.17,14.34,771.47,12.86,0.48,0.43
social_groups,21062720_21062802,1110.11,18.5,454.86,7.58,553.06,9.22,0.41,0.5
social_groups,21100608_21100614,2024.91,33.75,1208.09,20.13,685.72,11.43,0.6,0.34
social_groups,21100620_21100702,1845.78,30.76,931.75,15.53,778.92,12.98,0.5,0.42
social_groups,21100808_21100814,2392.29,39.87,1613.63,26.89,742.17,12.37,0.67,0.31
social_groups,21100820_21100902,2112.23,35.2,1206.28,20.1,684.6,11.41,0.57,0.32
social_groups,21101008_21101014,1913.78,31.9,940.24,15.67,860.85,14.35,0.49,0.45
social_groups,21101020_21101102,1444.97,24.08,706.25,11.77,658.43,10.97,0.49,0.46
social_groups,21111008_21111014,2138.43,35.64,1307.38,21.79,852.94,14.22,0.61,0.4
social_groups,21111020_21111102,1869.89,31.16,979.1,16.32,757.97,12.63,0.52,0.41
social_groups,21111208_21111214,2121.43,35.36,1252.73,20.88,832.83,13.88,0.59,0.39
social_groups,21111220_21111302,1810.71,30.18,941.45,15.69,534.75,8.91,0.52,0.3
social_groups,21111408_21111414,1760.18,29.34,944.81,15.75,708.37,11.81,0.54,0.4
social_groups,21111420_21111502,1257.81,20.96,628.18,10.47,554.35,9.24,0.5,0.44
