timestamp,passengers_requests,passengers_departures,passengers_arrivals,passengers_served_by_drivers,avg_ride_waiting,avg_ride_duration,avg_ride_route_length,num_rides_in_progress,num_drivers_cars,avg_drivers_shift_duration,avg_drivers_total_route_length,avg_drivers_total_times,avg_drivers_occupied_distance,avg_drivers_occupied_time,num_traffic_vehicles,avg_traffic_duration,avg_traffic_route_length,avg_queuing_time,avg_queuing_length,avg_speed,avg_relative_speed
0,1,0,0,0,0.0,0.0,0.0,0,574,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0,0,0,0.0,0.0,0.0,0,577,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,1.94,0.22
2,5,0,0,0,0.0,0.0,0.0,0,579,0.0,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,3.83,0.43
3,1,0,0,0,0.0,0.0,0.0,0,620,0.0,0.0,0.0,0.0,0.0,66,0.0,0.0,0.0,0.0,5.23,0.58
4,2,0,0,0,0.0,0.0,0.0,0,622,0.0,0.0,0.0,0.0,0.0,84,0.0,0.0,0.0,0.0,6.24,0.66
5,2,0,0,0,0.0,0.0,0.0,0,622,0.0,0.0,0.0,0.0,0.0,97,0.0,0.0,0.0,0.0,7.07,0.71
6,2,0,0,0,0.0,0.0,0.0,0,626,0.0,0.0,0.0,0.0,0.0,114,0.0,0.0,0.0,0.0,7.79,0.75
7,1,0,0,0,0.0,0.0,0.0,0,626,0.0,0.0,0.0,0.0,0.0,132,0.0,0.0,0.0,0.0,8.52,0.79
8,5,0,0,0,0.0,0.0,0.0,0,626,0.0,0.0,0.0,0.0,0.0,145,0.0,0.0,0.6666666666666666,3.866666666666667,9.09,0.83
9,1,0,0,0,0.0,0.0,0.0,0,627,0.0,0.0,0.0,0.0,0.0,158,0.0,0.0,1.125,3.64375,9.32,0.83
10,1,0,0,0,0.0,0.0,0.0,0,627,0.0,0.0,0.0,0.0,0.0,176,0.0,0.0,0.9,2.6605,9.36,0.83
11,0,0,0,0,0.0,0.0,0.0,0,627,0.0,0.0,0.0,0.0,0.0,188,0.0,0.0,1.1785714285714286,3.1942857142857144,9.27,0.84
12,3,0,0,0,0.0,0.0,0.0,1,627,0.0,0.0,0.0,0.0,0.0,199,0.0,0.0,1.0909090909090908,2.90090909090909,9.12,0.83
13,3,0,0,0,0.0,0.0,0.0,1,627,0.0,0.0,0.0,0.0,0.0,208,0.0,0.0,1.3076923076923077,3.202051282051282,8.96,0.82
