vehicle_id;origin_edge_id;origin_taz_id;destination_edge_id;destination_taz_id;origin_starting_time;destination_ending_time
25;620169744#0;348;620169744#0;348;2021-01-14 09:00:56;2021-01-14 09:59:04
1062;159791114#0;911;30831814;855;2021-01-14 09:00:36;2021-01-14 09:59:33
1080;1215827892;588;30831814;855;2021-01-14 09:00:53;2021-01-14 09:59:50
1407;-682768769;492;-682768770#1;492;2021-01-14 09:00:37;2021-01-14 09:59:32
1416;514657671;420;8915373#0;46;2021-01-14 09:00:42;2021-01-14 09:59:00
1431;-680438021;492;-680438021;492;2021-01-14 09:00:37;2021-01-14 09:59:20
1463;679078833#0;915;27145835#1;46;2021-01-14 09:00:55;2021-01-14 09:59:53
1466;-682768769;492;8919908#2;492;2021-01-14 09:00:16;2021-01-14 09:59:13
1468;8919908#2;492;-680438018#1;492;2021-01-14 09:01:45;2021-01-14 09:15:58
1475;-8918614;394;8915373#0;46;2021-01-14 09:00:27;2021-01-14 09:59:42
1477;255351740;440;8915373#0;46;2021-01-14 09:00:25;2021-01-14 09:59:19
1481;514657671;420;8915373#0;46;2021-01-14 09:00:42;2021-01-14 09:59:00
1482;-682768769;492;-682768769;492;2021-01-14 09:00:58;2021-01-14 09:59:59
1483;-8918614;394;8915373#0;46;2021-01-14 09:00:26;2021-01-14 09:59:42
1486;-680438018#1;492;-680438018#1;492;2021-01-14 09:00:29;2021-01-14 09:59:39
1510;679078833#2;908;417963966#0;43;2021-01-14 09:00:56;2021-01-14 09:59:53
1515;;492;8922234#0;725;2021-01-14 09:00:41;2021-01-14 09:59:26
1544;678038618;46;678038618;46;2021-01-14 09:00:05;2021-01-14 09:53:49
1547;255351740;440;8915373#0;46;2021-01-14 09:00:26;2021-01-14 09:59:19
1549;;492;8922234#0;725;2021-01-14 09:00:27;2021-01-14 09:59:27
2003;283527490#0;389;224384019#0;939;2021-01-14 09:00:43;2021-01-14 09:59:55
2004;396987356#0;907;532065713#0;924;2021-01-14 09:00:02;2021-01-14 09:59:59
2006;-678038624#1;55;397138671;46;2021-01-14 09:00:13;2021-01-14 09:59:38
2007;224373744#0;6;397108536#0;763;2021-01-14 09:00:30;2021-01-14 09:59:34
2008;705655282#0;46;-27145608#2;104;2021-01-14 09:00:12;2021-01-14 09:59:33
2009;-680438018#1;492;-682768769;492;2021-01-14 09:33:30;2021-01-14 09:59:26
2010;8919908#2;492;-680438018#1;492;2021-01-14 09:00:16;2021-01-14 09:59:28
2013;27652477#1;905;8920394#0;633;2021-01-14 09:00:22;2021-01-14 09:59:23
2018;-224373759#1;6;-224384019#2;742;2021-01-14 09:00:06;2021-01-14 09:59:56
2019;224373744#0;6;88463829#0;763;2021-01-14 09:00:30;2021-01-14 09:59:33
2020;283530637#2;929;255166640#0;489;2021-01-14 09:00:43;2021-01-14 09:59:41
2021;-8917852#1;492;-680438018#1;492;2021-01-14 09:00:20;2021-01-14 09:59:35
2022;254299115#0;15;677165867;778;2021-01-14 09:00:02;2021-01-14 09:59:58
2023;566870076#5;113;705655282#0;46;2021-01-14 09:00:16;2021-01-14 09:59:14
2024;27652477#1;905;8920394#0;633;2021-01-14 09:00:22;2021-01-14 09:59:23
2026;283530828#0;15;677165867;778;2021-01-14 09:00:02;2021-01-14 09:59:58
2028;396983464#0;490;396957212#0;557;2021-01-14 09:00:17;2021-01-14 09:59:55
2029;;492;;492;2021-01-14 09:00:09;2021-01-14 09:59:57
2030;8916586#0;557;283526875#0;407;2021-01-14 09:00:04;2021-01-14 09:59:59
2032;417400770#0;723;-224373759#1;6;2021-01-14 09:00:34;2021-01-14 09:59:13
2034;26786644#0;924;396985372#0;389;2021-01-14 09:00:07;2021-01-14 09:59:57
2035;-224384019#2;742;-224373759#1;6;2021-01-14 09:00:04;2021-01-14 09:59:55
2036;-224384019#2;742;-224373759#1;6;2021-01-14 09:00:04;2021-01-14 09:59:55
2037;437537914#0;491;283523310#0;558;2021-01-14 09:00:11;2021-01-14 09:59:54
2038;-680438018#1;492;-682768769;492;2021-01-14 09:00:16;2021-01-14 09:42:04
2040;8916586#0;557;283526875#0;407;2021-01-14 09:00:04;2021-01-14 09:59:59
2041;50690291;723;-224373759#1;6;2021-01-14 09:00:34;2021-01-14 09:59:13
2042;46594527#0;649;255178172#0;76;2021-01-14 09:00:24;2021-01-14 09:59:26
2043;437537914#0;491;283523310#0;558;2021-01-14 09:00:12;2021-01-14 09:59:54
2045;-224373759#1;6;255166640#0;489;2021-01-14 09:35:50;2021-01-14 09:59:42
2047;676714195#0;561;-255351729#1;46;2021-01-14 09:01:43;2021-01-14 09:59:51
2052;676714194#0;561;-142947251#1;107;2021-01-14 09:00:12;2021-01-14 09:58:50
2053;417187947#0;492;514631364#0;491;2021-01-14 09:00:36;2021-01-14 09:59:35
2054;-224373759#1;6;-224384019#2;742;2021-01-14 09:00:06;2021-01-14 09:59:55
2055;32007659;46;32007659;46;2021-01-14 09:00:22;2021-01-14 09:59:46
2056;26786644#0;657;396985372#0;76;2021-01-14 09:00:07;2021-01-14 09:59:58
