timestamp,passengers_new,passengers_departures,passengers_arrivals,passengers_unassigned,passengers_assigned,passengers_accept,passengers_reject,passengers_cancel,drivers_shift_duration_avg,drivers_total_length_avg,drivers_idle_duration_avg,drivers_occupied_distance_avg,drivers_occupied_duration_avg,drivers_passengers_served,drivers_idle,drivers_pickup,drivers_busy,drivers_accept,drivers_reject,drivers_removed,rides_in_progress,rides_waiting_duration_avg,rides_duration_avg,rides_length_avg,rides_duration_expected_avg,rides_length_expected_avg,rides_dispatched,rides_partial_acceptances,rides_failed,rides_not_served,rides_offers_generated,rides_offers_radius_avg,rides_offers_price_avg,rides_offers_surge_avg,traffic_in_progress,traffic_departures,traffic_arrivals,traffic_duration_avg,traffic_length_avg,traffic_speed_avg,traffic_speed_relative_avg,traffic_queuing_duration_avg,traffic_queuing_length_avg,rides_offers_lyft,rides_offers_uber,rides_offers_surge_lyft_avg,rides_offers_surge_uber_avg
0,1,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,833,0,0,0,0,0,0,0.0,0.0,0.0,177.54,2394.63,0,0,0,0,8,378.23,11.71,1.0,15,15,0,0.0,0.0,0.0,0.0,0.0,0.0,2,6,1.0,1.0
1,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,27,12,0,0.0,0.0,1.93,0.19,1.0,88.8,0,0,0.0,0.0
2,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,33,6,0,0.0,0.0,3.81,0.38,1.0,272.56,0,0,0.0,0.0
3,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,51,18,0,0.0,0.0,5.24,0.52,0.0,0.0,0,0,0.0,0.0
4,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,72,21,0,0.0,0.0,6.34,0.6,1.0,92.935,0,0,0.0,0.0
5,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,85,13,0,0.0,0.0,7.28,0.65,0.0,0.0,0,0,0.0,0.0
6,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,102,17,0,0.0,0.0,8.23,0.7,0.3333333333333333,29.606666666666666,0,0,0.0,0.0
7,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,114,12,0,0.0,0.0,9.13,0.76,0.5,88.07,0,0,0.0,0.0
8,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,129,15,0,0.0,0.0,9.78,0.79,0.2857142857142857,11.355714285714287,0,0,0.0,0.0
9,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,137,8,0,0.0,0.0,10.08,0.8,0.5,10.772000000000002,0,0,0.0,0.0
10,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,155,18,0,0.0,0.0,10.06,0.8,0.8333333333333334,2.9258333333333333,0,0,0.0,0.0
11,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,168,13,0,0.0,0.0,9.89,0.8,1.0,2.96,0,0,0.0,0.0
12,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,190,22,0,0.0,0.0,9.57,0.78,0.8636363636363636,8.49613636363636,0,0,0.0,0.0
13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,202,12,0,0.0,0.0,9.3,0.76,1.064516129032258,4.471612903225806,0,0,0.0,0.0
14,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,219,17,0,0.0,0.0,9.03,0.75,1.6666666666666667,4.34086956521739,0,0,0.0,0.0
15,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,231,12,0,0.0,0.0,8.83,0.74,1.8383838383838385,5.348080808080806,0,0,0.0,0.0
16,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,0.0,0.0,0.0,251,20,0,0.0,0.0,8.59,0.72,2.533333333333333,5.782476190476189,0,0,0.0,0.0
17,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,263,12,0,0.0,0.0,8.36,0.71,3.1440677966101696,7.91237288135593,0,0,0.0,0.0
18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,290,27,0,0.0,0.0,8.02,0.69,3.3472222222222223,5.132013888888888,0,0,0.0,0.0
19,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,304,14,0,0.0,0.0,7.87,0.68,3.725609756097561,7.145670731707313,0,0,0.0,0.0
20,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,321,17,0,0.0,0.0,7.71,0.67,4.335260115606936,5.83450867052023,0,0,0.0,0.0
21,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,335,14,0,0.0,0.0,7.61,0.67,4.836842105263158,7.181526315789472,0,0,0.0,0.0
22,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,351,16,0,0.0,0.0,7.55,0.66,5.495,6.0663,0,0,0.0,0.0
23,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,360,9,1,19.0,203.3,7.49,0.66,6.201923076923077,6.192884615384614,0,0,0.0,0.0
24,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,375,16,0,0.0,0.0,7.39,0.65,6.781818181818182,6.254181818181817,0,0,0.0,0.0
25,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,386,11,1,20.0,274.75,7.28,0.64,7.166666666666667,7.688461538461538,0,0,0.0,0.0
26,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,398,13,0,0.0,0.0,7.21,0.64,7.47843137254902,6.1049019607843125,0,0,0.0,0.0
27,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,403,5,0,0.0,0.0,7.22,0.64,8.207692307692307,7.519269230769229,0,0,0.0,0.0
28,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,415,12,1,16.0,195.38,7.15,0.64,8.91044776119403,6.4269029850746255,0,0,0.0,0.0
29,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,422,8,1,23.0,336.16,7.07,0.63,9.510791366906474,6.6220503597122296,0,0,0.0,0.0
30,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,427,6,0,0.0,0.0,7.03,0.64,10.25912408759124,6.728868613138685,0,0,0.0,0.0
31,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,432,5,0,0.0,0.0,6.95,0.63,11.03956834532374,6.739964028776978,0,0,0.0,0.0
32,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,445,13,0,0.0,0.0,6.85,0.62,11.31986531986532,6.994410774410773,0,0,0.0,0.0
33,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,456,11,0,0.0,0.0,6.78,0.61,12.01980198019802,6.649075907590759,0,0,0.0,0.0
34,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,474,18,0,0.0,0.0,6.67,0.61,12.60897435897436,7.050480769230769,0,0,0.0,0.0
35,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,479,5,0,0.0,0.0,6.65,0.6,13.334448160535118,7.36030100334448,0,0,0.0,0.0
36,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0.0,0.0,0.0,500,21,0,0.0,0.0,6.56,0.59,13.668810289389068,7.281672025723473,0,0,0.0,0.0
37,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,517,17,0,0.0,0.0,6.5,0.59,14.124223602484472,6.908944099378883,0,0,0.0,0.0
38,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,531,14,0,0.0,0.0,6.51,0.59,14.558359621451103,7.048801261829652,0,0,0.0,0.0
39,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,542,11,1,35.0,182.76,6.5,0.59,15.030674846625766,7.034018404907974,0,0,0.0,0.0
40,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,557,16,0,0.0,0.0,6.45,0.58,15.312693498452012,7.01030959752322,0,0,0.0,0.0
41,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,561,4,0,0.0,0.0,6.46,0.58,15.528358208955224,7.018597014925374,0,0,0.0,0.0
42,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0.0,0.0,0.0,577,16,0,0.0,0.0,6.38,0.57,15.882183908045977,6.734281609195402,0,0,0.0,0.0
43,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,582,5,1,19.0,226.02,6.34,0.57,16.15702479338843,7.192865013774103,0,0,0.0,0.0
