vehicle_id;origin_edge_id;origin_taz_id;destination_edge_id;destination_taz_id;origin_starting_time
0;619979116;742;283534317#0;745;2021-06-25 20:00:00
1;-29480947#0;239;120257664#0;237;2021-06-25 20:00:00
2;32007659;46;-254759947#1;48;2021-06-25 20:00:00
3;682797225;38;8916578#2;40;2021-06-25 20:00:00
4;-619979101;684;133856230#0;687;2021-06-25 20:00:00
5;-772926388;223;254968957#7;220;2021-06-25 20:00:00
6;514657671;420;417385773#0;418;2021-06-25 20:00:00
7;681660474#0;46;397107863;48;2021-06-25 20:00:00
8;406581246;707;-263108751#8;710;2021-06-25 20:00:00
9;7373736#1;644;527857425#2;647;2021-06-25 20:00:02
10;1111713266#0;318;26940502#6;315;2021-06-25 20:00:02
11;8922863;877;-255178103#2;878;2021-06-25 20:00:02
12;27023200#0;446;-678903563#0;449;2021-06-25 20:00:02
13;-619979101;684;23880874;687;2021-06-25 20:00:02
14;-224200963#0;324;585655708#2;325;2021-06-25 20:00:02
15;247329525#0;45;-8920585#1;47;2021-06-25 20:00:02
16;8918969#0;535;32930344;535;2021-06-25 20:00:02
17;396985370#0;428;-468133442#1;431;2021-06-25 20:00:02
18;224373752#0;591;162324927#0;592;2021-06-25 20:00:02
19;-619378851#2;263;-158468972#3;262;2021-06-25 20:00:02
20;283527473#0;406;-108195533;408;2021-06-25 20:00:03
21;283527473#0;406;27019884#1;409;2021-06-25 20:00:03
22;E39.13;621;91181771#6;622;2021-06-25 20:00:03
23;29023785#0;747;981636498#0;750;2021-06-25 20:00:03
24;224384059#0;632;396950807;634;2021-06-25 20:00:03
25;E39.13;621;527829940#0;618;2021-06-25 20:00:03
26;255178175#0;406;8919882;405;2021-06-25 20:00:03
27;283527473#0;406;8919882;405;2021-06-25 20:00:04
28;204884387#0;938;133733590;938;2021-06-25 20:00:04
29;123867455;928;-E68;930;2021-06-25 20:00:04
30;27023200#0;446;-8921309;443;2021-06-25 20:00:04
31;-224384019#2;742;-228196396#1;742;2021-06-25 20:00:04
32;247329530;45;255178118;47;2021-06-25 20:00:04
33;88463829#0;763;978694795#0;763;2021-06-25 20:00:04
34;224373752#0;591;-996695182#1;592;2021-06-25 20:00:05
35;8918969#0;535;-1178379357#13;533;2021-06-25 20:00:05
36;283529427#0;907;283529412#0;906;2021-06-25 20:00:06
37;8918969#0;535;254759931#0;538;2021-06-25 20:00:06
38;527857397#0;345;477214641#0;342;2021-06-25 20:00:06
39;286676859;230;255351711#6;227;2021-06-25 20:00:06
40;513700709#0;569;-765856565;569;2021-06-25 20:00:07
41;676714194#0;561;283523310#0;558;2021-06-25 20:00:07
42;-680402703;323;585655708#7;326;2021-06-25 20:00:07
43;283527464#0;406;-1208185056;404;2021-06-25 20:00:07
44;142947251#0;107;-417962863#1;108;2021-06-25 20:00:07
45;-417103313#1;820;85644959#9;819;2021-06-25 20:00:07
46;-29480947#0;239;681971908#0;242;2021-06-25 20:00:07
47;619568414;429;396985370#0;428;2021-06-25 20:00:07
48;283527473#0;406;-133743897#4;408;2021-06-25 20:00:07
49;30454437;928;-E68;930;2021-06-25 20:00:07
50;30454437;928;396952204#0;927;2021-06-25 20:00:07
51;255178175#0;406;397094082;409;2021-06-25 20:00:07
52;-8916578#8;885;89814889#0;888;2021-06-25 20:00:07
53;204884387#0;938;224384019#0;939;2021-06-25 20:00:08
54;159791114#3;911;159791114#0;911;2021-06-25 20:00:08
55;E39.13;621;396947820;624;2021-06-25 20:00:08
56;417400768#0;723;-397097610;723;2021-06-25 20:00:08
57;-680402702;135;-1216148096#2;132;2021-06-25 20:00:08
58;283527464#0;406;283526875#0;407;2021-06-25 20:00:08
59;88572881#0;773;27166421#0;771;2021-06-25 20:00:08
60;123867455;928;514606777#0;929;2021-06-25 20:00:09
61;224373752#0;591;87235204#1;594;2021-06-25 20:00:09
62;310458109;122;311430145#0;122;2021-06-25 20:00:09
63;682762590;430;619568422;431;2021-06-25 20:00:09
64;-8916845#0;27;-147496076#6;24;2021-06-25 20:00:10
65;-681758074;889;254968940;890;2021-06-25 20:00:10
66;-772927006#0;205;437557842#1;208;2021-06-25 20:00:10
67;8917309;535;-1178379357#11;534;2021-06-25 20:00:10
68;978694795#0;763;-28841115#5;761;2021-06-25 20:00:11
69;619535770#0;853;-505761791#1;853;2021-06-25 20:00:11
70;286003025#0;503;133856331#2;502;2021-06-25 20:00:11
71;255178136#1;16;-214514829;19;2021-06-25 20:00:11
72;-87559150;921;-8916484#1;920;2021-06-25 20:00:11
73;396985968#0;658;158804439#0;660;2021-06-25 20:00:11
74;-97635888;519;414894752#1;520;2021-06-25 20:00:12
75;620728090;571;1124361415#0;569;2021-06-25 20:00:12
76;-225516713#0;108;27028572#1;107;2021-06-25 20:00:12
77;-162931809#0;142;-619568417;142;2021-06-25 20:00:12
78;255178136#1;2;-417958443#0;3;2021-06-25 20:00:12
79;283527464#0;406;-469387976#1;408;2021-06-25 20:00:12
80;512038661;620;399138117#5;618;2021-06-25 20:00:12
81;-1209942997;7;-8919408;4;2021-06-25 20:00:12
82;678038618;46;37555378#2;46;2021-06-25 20:00:12
83;224373752#0;591;682004790#0;588;2021-06-25 20:00:12
84;290052332#0;749;721174654;752;2021-06-25 20:00:12
85;E39.13;621;1112220493;623;2021-06-25 20:00:13
86;310458109;122;89802429#0;121;2021-06-25 20:00:13
87;E39.13;621;512038661;620;2021-06-25 20:00:13
88;-682475681#1;924;-682475680;924;2021-06-25 20:00:13
89;680783343#0;428;-681758079;431;2021-06-25 20:00:13
90;-E14;740;-736359898;743;2021-06-25 20:00:14
91;396959338;297;-35973460#2;296;2021-06-25 20:00:14
92;8922863;877;254984073#0;874;2021-06-25 20:00:14
93;512038661;620;527829940#0;618;2021-06-25 20:00:14
94;108389186#0;263;-779335063;265;2021-06-25 20:00:14
